City,Category,Product,Quantity_Sold,Unit_Price,Total_Revenue,Sale_Date
Hyderabad,Fashion,Watch,12.0,6748,80976,2025-05-04
Bhopal,Accessories,Headphones,12.0,8000,96000,2025-09-17
Pune,Electronics,Monitor,36.0,5561,59784,2025-09-24
Ahmedabad,Accessories,Headphones,35.0,2336,64344,2025-09-13
Surat,Home Appliances,Mixer,1.0,1490,1490,2025-01-09
Mumbai,Fashion,Jeans,2.0,3034,6068,2025-11-11
Chennai,Electronics,Tablet,12.0,5223,62676,2025-08-19
Chennai,Accessories,Keyboard,7.0,1785,12495,2025-04-23
Kochi,Accessories,Keyboard,16.0,7428,118848,2025-03-02
Mysuru,Electronics,Laptop,14.0,3984,55776,2025-07-28
Chennai,Electronics,Tablet,36.0,6481,51237,2025-10-04
Ahmedabad,Electronics,Camera,3.0,7888,12456,2025-10-15
Chennai,Fashion,Watch,4.0,1244,4976,2025-09-07
Ahmedabad,Accessories,Keyboard,6.0,899,5394,2025-06-25
Lucknow,Home Appliances,Air Cooler,21.0,6344,133224,2025-04-17
Pune,Fashion,Watch,25.0,843,21075,2025-09-22
Chennai,Accessories,Keyboard,4.0,2950,11800,2025-12-06
Hyderabad,Fashion,T-Shirt,3.0,7701,23103,2025-07-26
Surat,Fashion,Jeans,5.0,6125,30625,2025-05-09
Surat,Fashion,T-Shirt,19.0,6382,121258,2025-04-04
Hyderabad,Home Appliances,Mixer,40.0,3422,128446,2025-01-17
Ahmedabad,Accessories,Mouse,3.0,3543,10629,2025-07-05
Hyderabad,Accessories,Mouse,18.0,4691,84438,2025-01-21
Ahmedabad,Accessories,Speaker,33.0,7081,121624,2025-01-06
Delhi,Accessories,Speaker,20.0,1267,25340,2025-10-04
Delhi,Home Appliances,Fan,9.0,2161,19449,2025-10-03
Mumbai,Electronics,Monitor,9.0,7812,70308,2025-05-24
Chennai,Home Appliances,Fan,13.0,6136,79768,2025-04-02
Kochi,Accessories,Headphones,7.0,2693,18851,2025-08-25
Bhopal,Accessories,Headphones,37.0,5152,29034,2025-05-09
Bengaluru,Accessories,Headphones,18.0,652,11736,2025-04-01
Chennai,Electronics,Tablet,15.0,3355,50325,2025-11-21
Lucknow,Electronics,Laptop,34.0,6895,54431,2025-05-23
Bhopal,Home Appliances,Air Cooler,38.0,2447,92986,2025-03-25
Patna,Home Appliances,Fan,21.0,2157,45297,2025-05-02
Mysuru,Fashion,T-Shirt,32.0,1086,34752,2025-06-10
Bhopal,Electronics,Laptop,24.0,5284,60056,2025-08-27
Bengaluru,Fashion,Jeans,28.0,2254,63112,2025-07-23
Bhopal,Electronics,Laptop,18.0,3262,58716,2025-01-08
Bengaluru,Electronics,Camera,24.0,1505,36120,2025-02-08
Ahmedabad,Accessories,Headphones,6.0,2015,12090,2025-05-13
Mysuru,Electronics,Smartphone,21.0,2096,44016,2025-11-11
Surat,Fashion,Shoes,36.0,3727,134172,2025-01-16
Surat,Home Appliances,Fan,24.0,6350,152400,2025-06-11
Surat,Fashion,Watch,37.0,6002,180697,2025-04-28
Mysuru,Accessories,Speaker,21.0,2205,46305,2025-01-22
Bengaluru,Fashion,Shoes,10.0,2932,29320,2025-12-02
Mumbai,Electronics,Camera,27.0,6296,101477,2025-03-17
Jaipur,Fashion,T-Shirt,11.0,4538,49918,2025-04-14
Surat,Home Appliances,Mixer,29.0,1397,22031,2025-11-17
Kolkata,Accessories,Mouse,19.0,2939,13889,2025-06-07
Delhi,Accessories,Headphones,40.0,1678,67120,2025-07-24
Hyderabad,Accessories,Keyboard,3.0,3478,10434,2025-04-02
Jaipur,Electronics,Smartphone,30.0,4497,134910,2025-12-21
Kochi,Electronics,Laptop,21.0,3677,48494,2025-05-07
Mumbai,Electronics,Laptop,8.0,1919,15352,2025-04-02
Delhi,Fashion,Shoes,6.0,3666,21996,2025-07-04
Mumbai,Fashion,Jeans,18.0,1691,30438,2025-11-01
Patna,Home Appliances,Air Cooler,23.0,7496,90976,2025-05-13
Hyderabad,Accessories,Headphones,28.0,3293,70376,2025-01-04
Mysuru,Electronics,Smartphone,36.0,915,32940,2025-03-28
Ahmedabad,Accessories,Speaker,13.0,7708,100204,2025-11-10
Delhi,Home Appliances,Mixer,7.0,4995,34965,2025-10-02
Kolkata,Home Appliances,Air Cooler,27.0,166,4482,2025-04-06
Mumbai,Fashion,Watch,29.0,1213,35177,2025-06-12
Kochi,Home Appliances,Fan,33.0,5022,107633,2025-01-20
Mumbai,Electronics,Smartphone,5.0,2382,11910,2025-05-23
Patna,Electronics,Smartphone,29.0,5254,11007,2025-08-24
Mysuru,Fashion,Shoes,15.0,632,9480,2025-05-19
Pune,Electronics,Smartphone,15.0,4413,66195,2025-09-14
Lucknow,Accessories,Headphones,32.0,6544,209408,2025-02-20
Surat,Accessories,Headphones,40.0,155,6200,2025-12-07
Bhopal,Electronics,Smartphone,16.0,7419,113411,2025-09-12
Pune,Home Appliances,Mixer,33.0,3842,108322,2025-02-22
Patna,Home Appliances,Mixer,39.0,3139,122421,2025-06-10
Chennai,Accessories,Headphones,37.0,1696,62752,2025-12-10
Bengaluru,Home Appliances,Mixer,7.0,4418,30926,2025-07-07
Jaipur,Fashion,Shoes,33.0,4511,19421,2025-03-06
Ahmedabad,Electronics,Tablet,24.0,3089,54502,2025-02-18
Patna,Fashion,T-Shirt,1.0,5379,5379,2025-10-10
Chennai,Electronics,Camera,34.0,2822,21014,2025-11-06
Chennai,Home Appliances,Air Cooler,31.0,5283,163773,2025-10-12
Ahmedabad,Electronics,Camera,26.0,7044,183144,2025-07-12
Mysuru,Electronics,Monitor,26.0,972,25272,2025-06-21
Surat,Fashion,Shoes,35.0,5994,209790,2025-08-19
Bengaluru,Electronics,Tablet,18.0,150,2700,2025-05-11
Mumbai,Electronics,Laptop,23.0,2089,48047,2025-10-05
Pune,Fashion,Watch,36.0,5056,98405,2025-01-24
Mumbai,Accessories,Speaker,27.0,1289,34803,2025-12-11
Pune,Fashion,T-Shirt,3.0,6649,19947,2025-09-05
Bhopal,Home Appliances,Mixer,2.0,1420,2840,2025-07-13
Mumbai,Home Appliances,Mixer,3.0,113,339,2025-06-25
Lucknow,Accessories,Speaker,37.0,7197,50982,2025-09-04
Delhi,Electronics,Laptop,8.0,1682,13456,2025-11-07
Hyderabad,Accessories,Speaker,16.0,533,8528,2025-05-17
Chennai,Home Appliances,Mixer,25.0,5796,85750,2025-11-11
Delhi,Accessories,Speaker,20.0,2353,47060,2025-06-25
Mysuru,Accessories,Headphones,19.0,2507,47633,2025-06-13
Pune,Accessories,Headphones,32.0,3254,76509,2025-10-05
Bengaluru,Home Appliances,Fan,6.0,1779,10674,2025-04-10
Hyderabad,Electronics,Tablet,16.0,1457,23312,2025-08-03
Mumbai,Accessories,Speaker,4.0,6345,25380,2025-11-22
Kochi,Fashion,Shoes,19.0,1640,31160,2025-07-13
Delhi,Accessories,Headphones,7.0,4628,32396,2025-03-17
Bengaluru,Electronics,Monitor,22.0,7054,155188,2025-02-11
Bhopal,Fashion,Jeans,20.0,7441,148820,2025-08-02
Lucknow,Home Appliances,Air Cooler,12.0,4254,30279,2025-10-05
Hyderabad,Home Appliances,Mixer,7.0,5654,6826,2025-02-02
Jaipur,Accessories,Speaker,3.0,1604,4812,2025-11-17
Pune,Fashion,T-Shirt,32.0,1223,39136,2025-05-10
Bengaluru,Accessories,Speaker,32.0,7736,163499,2025-03-10
Kochi,Home Appliances,Air Cooler,26.0,4801,124826,2025-11-08
Surat,Fashion,T-Shirt,1.0,4141,4141,2025-12-18
Mysuru,Accessories,Speaker,38.0,4288,162944,2025-11-17
Hyderabad,Electronics,Smartphone,6.0,1208,7248,2025-11-24
Mysuru,Electronics,Smartphone,10.0,331,3310,2025-02-20
Ahmedabad,Electronics,Camera,34.0,2474,84116,2025-04-04
Lucknow,Home Appliances,Air Cooler,34.0,3968,87769,2025-12-19
Chennai,Fashion,T-Shirt,13.0,4993,64909,2025-03-28
Kolkata,Accessories,Headphones,24.0,4280,102720,2025-08-10
Mysuru,Fashion,Watch,35.0,6521,168216,2025-02-23
Patna,Electronics,Camera,17.0,6356,6979,2025-11-25
Ahmedabad,Home Appliances,Fan,11.0,7145,78595,2025-12-26
Kolkata,Electronics,Laptop,24.0,6503,156072,2025-01-27
Pune,Electronics,Monitor,31.0,563,17453,2025-09-02
Patna,Fashion,Jeans,36.0,3251,117036,2025-07-15
Ahmedabad,Electronics,Tablet,3.0,6399,19197,2025-06-11
Jaipur,Electronics,Smartphone,3.0,3490,10470,2025-06-12
Lucknow,Electronics,Camera,3.0,5048,15144,2025-07-16
Chennai,Home Appliances,Fan,28.0,1005,28140,2025-09-21
Bhopal,Electronics,Camera,21.0,3741,78561,2025-07-01
Bhopal,Fashion,Watch,15.0,1363,20445,2025-04-03
Patna,Accessories,Keyboard,27.0,241,6507,2025-08-22
Pune,Fashion,Jeans,18.0,5070,88377,2025-09-07
Kolkata,Electronics,Laptop,40.0,4976,199040,2025-11-10
Ahmedabad,Fashion,Jeans,9.0,5914,53226,2025-03-15
Bhopal,Electronics,Laptop,13.0,5158,11534,2025-03-10
Ahmedabad,Accessories,Speaker,10.0,4166,41660,2025-11-22
Patna,Accessories,Mouse,17.0,6469,71659,2025-06-06
Kochi,Electronics,Tablet,18.0,1170,21060,2025-04-19
Ahmedabad,Home Appliances,Air Cooler,23.0,1083,24909,2025-04-20
Chennai,Home Appliances,Mixer,3.0,7259,21777,2025-11-28
Hyderabad,Electronics,Smartphone,28.0,3495,97860,2025-10-12
Chennai,Home Appliances,Mixer,40.0,6460,159275,2025-06-08
Hyderabad,Fashion,Watch,37.0,2720,100640,2025-09-16
Patna,Electronics,Camera,23.0,4816,110768,2025-04-22
Mysuru,Accessories,Headphones,18.0,6718,120924,2025-12-19
Chennai,Home Appliances,Air Cooler,13.0,2417,31421,2025-01-13
Kolkata,Accessories,Mouse,29.0,2178,63162,2025-06-14
Pune,Home Appliances,Air Cooler,32.0,6032,118930,2025-10-19
Kochi,Electronics,Monitor,7.0,286,2002,2025-05-07
Surat,Home Appliances,Air Cooler,15.0,1564,23460,2025-03-17
Bengaluru,Electronics,Camera,14.0,1760,24640,2025-03-28
Mysuru,Home Appliances,Fan,7.0,3995,27965,2025-04-16
Patna,Home Appliances,Air Cooler,24.0,5139,123336,2025-12-05
Ahmedabad,Home Appliances,Air Cooler,20.0,7733,154660,2025-11-10
Jaipur,Home Appliances,Mixer,37.0,3435,127095,2025-07-06
Chennai,Home Appliances,Mixer,29.0,6480,187920,2025-06-08
Bhopal,Accessories,Mouse,29.0,2995,3884,2025-02-06
Kolkata,Accessories,Mouse,33.0,1995,65835,2025-01-02
Kochi,Home Appliances,Air Cooler,17.0,4766,55397,2025-02-18
Bengaluru,Fashion,T-Shirt,17.0,1416,24072,2025-09-25
Bhopal,Fashion,Jeans,15.0,5828,87420,2025-11-12
Mysuru,Accessories,Keyboard,35.0,3413,9100,2025-10-17
Patna,Fashion,Watch,2.0,7564,15128,2025-08-18
Delhi,Fashion,Jeans,15.0,7258,108870,2025-12-10
Surat,Fashion,Shoes,12.0,2821,33852,2025-10-02
Kochi,Accessories,Mouse,40.0,4819,134595,2025-08-21
Kolkata,Home Appliances,Air Cooler,40.0,4927,153450,2025-03-22
Surat,Accessories,Keyboard,22.0,2644,58168,2025-02-09
Ahmedabad,Electronics,Smartphone,16.0,7012,112192,2025-04-01
Kolkata,Home Appliances,Mixer,7.0,7604,53228,2025-08-21
Mumbai,Home Appliances,Fan,27.0,4620,124740,2025-05-02
Jaipur,Electronics,Laptop,11.0,7993,87923,2025-06-20
Lucknow,Electronics,Laptop,3.0,1432,4296,2025-10-25
Hyderabad,Home Appliances,Air Cooler,34.0,2146,72964,2025-02-06
Hyderabad,Fashion,Shoes,4.0,3901,15604,2025-01-11
Bengaluru,Fashion,T-Shirt,24.0,6619,158856,2025-05-11
Pune,Accessories,Speaker,32.0,7826,181017,2025-01-16
Mysuru,Electronics,Tablet,32.0,2105,67360,2025-04-17
Kolkata,Home Appliances,Mixer,17.0,4550,77350,2025-10-28
Chennai,Fashion,Watch,28.0,4890,55707,2025-04-25
Mysuru,Electronics,Camera,29.0,891,25839,2025-10-13
Patna,Home Appliances,Fan,18.0,7683,138294,2025-12-27
Ahmedabad,Electronics,Smartphone,13.0,7257,67372,2025-05-04
Ahmedabad,Fashion,T-Shirt,19.0,5498,46692,2025-02-09
Mumbai,Home Appliances,Mixer,8.0,841,6728,2025-11-21
Lucknow,Fashion,T-Shirt,40.0,7508,223478,2025-11-15
Bhopal,Electronics,Laptop,28.0,2092,58576,2025-03-23
Surat,Home Appliances,Fan,22.0,7619,33223,2025-01-05
Chennai,Electronics,Camera,32.0,6161,29181,2025-04-07
Mysuru,Home Appliances,Fan,12.0,2734,32808,2025-02-28
Bhopal,Electronics,Laptop,37.0,5071,187627,2025-12-20
Bhopal,Fashion,T-Shirt,38.0,3064,74233,2025-04-18
Chennai,Home Appliances,Mixer,6.0,4987,16839,2025-04-21
Lucknow,Accessories,Speaker,34.0,2902,98668,2025-02-14
Mumbai,Accessories,Speaker,21.0,2188,45948,2025-11-24
Delhi,Home Appliances,Mixer,22.0,6000,64369,2025-12-01
Delhi,Electronics,Monitor,20.0,2282,2190,2025-03-07
Kolkata,Fashion,Shoes,24.0,7991,87319,2025-03-12
Kolkata,Electronics,Tablet,7.0,5295,37065,2025-06-27
Ahmedabad,Home Appliances,Mixer,25.0,535,13375,2025-02-11
Ahmedabad,Home Appliances,Fan,5.0,5894,29470,2025-08-08
Chennai,Accessories,Speaker,12.0,5351,64212,2025-11-17
Patna,Electronics,Monitor,26.0,6842,96588,2025-02-11
Kolkata,Electronics,Tablet,36.0,7624,147137,2025-10-18
Mysuru,Electronics,Tablet,25.0,4158,103950,2025-10-06
Jaipur,Accessories,Keyboard,39.0,4543,177177,2025-08-23
Bengaluru,Fashion,Watch,12.0,3037,36444,2025-05-06
Kochi,Home Appliances,Mixer,35.0,742,25970,2025-04-06
Hyderabad,Electronics,Camera,30.0,4376,131280,2025-08-25
Kolkata,Home Appliances,Fan,16.0,6406,102496,2025-06-04
Pune,Accessories,Mouse,26.0,7366,8025,2025-12-02
Jaipur,Home Appliances,Fan,8.0,5584,44672,2025-01-22
Lucknow,Accessories,Mouse,12.0,2396,28752,2025-02-19
Kochi,Home Appliances,Air Cooler,40.0,1366,54640,2025-03-06
Kochi,Fashion,Shoes,38.0,7528,100778,2025-02-13
Hyderabad,Accessories,Mouse,30.0,428,12840,2025-04-04
Bhopal,Electronics,Laptop,2.0,7715,15430,2025-04-02
Lucknow,Home Appliances,Mixer,28.0,6826,191128,2025-05-09
Jaipur,Home Appliances,Fan,26.0,3975,98876,2025-01-28
Pune,Accessories,Mouse,8.0,4050,32400,2025-03-13
Delhi,Electronics,Smartphone,23.0,1796,16189,2025-03-17
Surat,Electronics,Monitor,18.0,3363,60534,2025-10-08
Surat,Accessories,Mouse,38.0,5274,75874,2025-05-12
Delhi,Electronics,Tablet,5.0,822,4110,2025-12-25
Bengaluru,Fashion,T-Shirt,26.0,5527,143702,2025-03-25
Surat,Accessories,Mouse,38.0,6253,213127,2025-06-28
Delhi,Home Appliances,Fan,33.0,3767,98378,2025-11-26
Hyderabad,Home Appliances,Fan,31.0,5785,179335,2025-09-16
Mumbai,Electronics,Smartphone,17.0,6083,103411,2025-10-02
Lucknow,Home Appliances,Fan,21.0,7457,156597,2025-07-27
Bhopal,Home Appliances,Air Cooler,3.0,4558,13674,2025-10-03
Mysuru,Home Appliances,Fan,33.0,5453,8568,2025-01-28
Mysuru,Accessories,Headphones,24.0,2625,37679,2025-04-24
Pune,Electronics,Tablet,35.0,1915,67025,2025-09-16
Hyderabad,Home Appliances,Fan,19.0,6761,46716,2025-11-26
Patna,Home Appliances,Air Cooler,13.0,809,10517,2025-04-14
Hyderabad,Electronics,Tablet,9.0,4937,13180,2025-06-15
Surat,Fashion,Watch,29.0,5405,156745,2025-01-15
Jaipur,Accessories,Mouse,8.0,2312,18496,2025-05-24
Delhi,Electronics,Smartphone,40.0,7450,40693,2025-01-16
Hyderabad,Home Appliances,Fan,34.0,5861,199274,2025-02-04
Chennai,Fashion,Shoes,3.0,1966,5898,2025-03-14
Bhopal,Electronics,Tablet,13.0,7498,82133,2025-07-03
Bhopal,Accessories,Mouse,16.0,2521,40336,2025-02-27
Pune,Fashion,Jeans,22.0,7919,174218,2025-11-13
Patna,Home Appliances,Fan,24.0,1880,45120,2025-12-26
Pune,Fashion,Watch,5.0,7829,39145,2025-10-21
Ahmedabad,Home Appliances,Mixer,35.0,6123,175185,2025-11-04
Mumbai,Electronics,Laptop,39.0,5261,104515,2025-05-22
Kolkata,Accessories,Speaker,3.0,5839,17517,2025-11-07
Ahmedabad,Accessories,Headphones,30.0,3959,118770,2025-08-04
Chennai,Fashion,Watch,32.0,6704,105203,2025-10-11
Kolkata,Home Appliances,Mixer,35.0,1868,65380,2025-02-21
Surat,Fashion,T-Shirt,5.0,914,4570,2025-02-16
Bhopal,Home Appliances,Fan,31.0,2360,73160,2025-03-12
Jaipur,Accessories,Headphones,31.0,1952,41379,2025-03-06
Delhi,Home Appliances,Air Cooler,22.0,7724,35621,2025-06-27
Pune,Home Appliances,Air Cooler,25.0,2309,57725,2025-03-20
Jaipur,Electronics,Camera,12.0,6087,12030,2025-02-06
Chennai,Accessories,Headphones,36.0,441,15876,2025-03-03
Hyderabad,Home Appliances,Air Cooler,31.0,3537,109647,2025-08-25
Ahmedabad,Fashion,T-Shirt,36.0,4211,151596,2025-04-05
Mysuru,Electronics,Laptop,2.0,3498,6996,2025-05-21
Bengaluru,Accessories,Mouse,11.0,3367,37037,2025-08-16
Hyderabad,Home Appliances,Air Cooler,6.0,1689,10134,2025-06-06
Mysuru,Electronics,Laptop,7.0,6182,43274,2025-11-09
Kolkata,Home Appliances,Fan,22.0,2317,50974,2025-06-18
Surat,Electronics,Smartphone,4.0,6139,24556,2025-01-26
Surat,Accessories,Mouse,9.0,4439,39951,2025-01-22
Bengaluru,Fashion,Jeans,16.0,842,13472,2025-01-20
Mysuru,Fashion,Watch,10.0,3278,32780,2025-08-15
Delhi,Electronics,Smartphone,37.0,5097,155469,2025-10-22
Mumbai,Accessories,Keyboard,29.0,5995,142618,2025-11-23
Patna,Accessories,Keyboard,16.0,2658,42528,2025-11-04
