Order_ID,Date,City,Category,Product,Sales,Amount,Revenue,Total Quantity
ORD000267,2025-02-14,Noida,Clothing,T-Shirt,6.0,808871.94,161920.0,535.0
ORD000272,2025-03-06,Guwahati,Books,Dictionary,25.0,1536852.25,361503.21,560.0
ORD000274,2025-03-05,Chandigarh,Clothing,Jeans,17.0,2322468.09,220544.98,577.0
ORD000276,2025-03-06,Agra,Appliances,Refrigerator,7.0,667065.42,152575.99,584.0
ORD000278,2025-02-11,Coimbatore,Clothing,Jeans,19.0,119225.57,37343.94,603.0
ORD000283,2025-02-24,Vijayawada,Beauty,Face Wash,5.0,570618.4,124990.9,608.0
ORD000284,2025-02-19,Gurugram,Beauty,Perfume,4.0,160776.0,23624.12,612.0
ORD000295,2025-03-25,Varanasi,Books,Engineering Book,5.0,246310.4,60476.2,617.0
ORD000326,2025-03-10,Vadodara,Appliances,Refrigerator,12.0,1106788.2,154025.87,629.0
ORD000330,2025-03-26,Goa,Furniture,Sofa,17.0,516856.1,116240.03,646.0
ORD000357,2025-02-20,Agra,Beauty,Face Wash,12.0,923654.4,197906.69,658.0
ORD000362,2025-03-13,Gurugram,Books,Exam Guide,6.0,659655.36,115497.45,664.0
ORD000365,2025-01-31,Lucknow,Groceries,Rice,1.0,32886.08,6679.91,665.0
ORD000366,2025-01-09,Delhi,Books,Exam Guide,1.0,79878.65,15261.73,666.0
ORD000378,2025-02-08,Mysuru,Furniture,Wardrobe,2.0,29486.2,4207.06,668.0
ORD000381,2025-03-20,Vadodara,Sports,Cricket Bat,8.0,855959.76,87436.51,676.0
ORD000384,2025-02-15,Goa,Sports,Gym Gloves,18.0,1384467.84,149368.98,694.0
ORD000394,2025-02-28,Hubballi,Groceries,Milk,9.0,1102432.77,205154.45,703.0
ORD000397,2025-03-20,Jaipur,Sports,Gym Gloves,21.0,955386.81,141611.31,724.0
ORD000401,2025-02-24,Vijayawada,Electronics,Headphones,25.0,1245158.75,367299.9,749.0
ORD000404,2025-02-13,Delhi,Clothing,Jacket,16.0,252351.2,48530.51,765.0
ORD000408,2025-03-23,Kanpur,Furniture,Bookshelf,24.0,879901.2,111837.53,789.0
ORD000414,2025-03-30,Pune,Sports,Yoga Mat,12.0,634350.48,129167.94,801.0
ORD000429,2025-02-18,Nashik,Appliances,Microwave,17.0,2513019.9,661956.62,818.0
ORD000435,2025-02-02,Gurugram,Furniture,Bookshelf,21.0,2092758.36,369832.54,839.0
ORD000438,2025-03-05,Kolkata,Electronics,Laptop,21.0,2469706.68,504035.21,860.0
ORD000440,2025-02-17,Surat,Clothing,Shoes,6.0,787056.36,249245.53,866.0
ORD000441,2025-01-27,Chennai,Beauty,Face Wash,12.0,1196518.44,305358.72,878.0
ORD000442,2025-01-01,Patna,Sports,Badminton Racket,14.0,1377001.36,371788.26,892.0
ORD000444,2025-03-09,Coimbatore,Electronics,Laptop,4.0,592897.68,115036.83,896.0
ORD000445,2025-02-22,Patna,Books,Novel,13.0,175379.49,52194.4,909.0
ORD000450,2025-03-13,Hubballi,Furniture,Wardrobe,12.0,1733891.76,285946.48,921.0
ORD000456,2025-01-31,Ahmedabad,Furniture,Sofa,1.0,39401.57,3575.82,922.0
ORD000464,2025-02-02,Delhi,Appliances,Refrigerator,11.0,1331940.17,204365.92,933.0
ORD000471,2025-02-05,Patna,Electronics,Smartphone,17.0,2502636.98,844893.85,950.0
ORD000477,2025-01-31,Bhopal,Appliances,Refrigerator,17.0,2506973.85,484724.09,967.0
ORD000479,2025-03-10,Gurugram,Sports,Badminton Racket,24.0,307844.88,32571.77,991.0
ORD000482,2025-02-25,Ahmedabad,Appliances,Washing Machine,7.0,143522.19,41325.72,998.0
ORD000484,2025-02-16,Noida,Beauty,Perfume,10.0,695556.5,215740.89,1008.0
ORD000488,2025-02-22,Goa,Sports,Gym Gloves,24.0,1981514.88,209200.07,1032.0
ORD000489,2025-03-08,Mumbai,Clothing,T-Shirt,2.0,249145.62,86028.28,1034.0
ORD000492,2025-03-28,Coimbatore,Clothing,T-Shirt,4.0,26000.72,5316.33,1038.0
ORD000495,2025-02-01,Vadodara,Groceries,Sugar,16.0,989722.08,226335.52,1054.0
ORD000509,2025-03-22,Kolkata,Sports,Yoga Mat,11.0,498680.6,58266.81,1065.0
ORD000511,2025-03-07,Nagpur,Beauty,Perfume,13.0,599206.4,159325.73,1078.0
ORD000517,2025-03-27,Mumbai,Furniture,Bookshelf,2.0,115903.94,32197.86,1080.0
ORD000519,2025-01-11,Noida,Groceries,Wheat Flour,3.0,359697.81,32020.82,1083.0
ORD000520,2025-03-24,Kolkata,Beauty,Face Wash,3.0,154011.15,49243.75,1086.0
ORD000522,2025-02-21,Kanpur,Electronics,Smart TV,20.0,2669480.4,326792.5,1106.0
ORD000526,2025-02-11,Kolkata,Books,Engineering Book,1.0,31122.25,7852.5,1107.0
ORD000530,2025-02-13,Hyderabad,Appliances,Air Conditioner,5.0,564300.25,146840.23,1112.0
ORD000533,2025-01-18,Surat,Groceries,Cooking Oil,3.0,177843.51,55231.75,1115.0
ORD000536,2025-02-04,Agra,Clothing,Saree,11.0,1502925.49,491196.57,1126.0
ORD000540,2025-01-20,Hubballi,Sports,Badminton Racket,21.0,1530672.36,374126.6,1147.0
ORD000546,32/01/2025,Madurai,Sports,Gym Gloves,12.0,1478046.12,323873.63,1159.0
ORD000568,2025-02-06,Hyderabad,Furniture,Bed,21.0,1839134.64,616038.87,1180.0
ORD000573,2025-03-08,Kanpur,Clothing,Saree,16.0,1884849.76,547611.36,1196.0
ORD000574,2025-01-20,Vijayawada,Sports,Gym Gloves,14.0,2027236.96,371988.72,1210.0
ORD000577,2025-03-27,Jaipur,Beauty,Face Wash,4.0,230376.88,55046.5,1214.0
ORD000580,2025-03-09,Vijayawada,Groceries,Wheat Flour,1.0,34339.9,9489.34,1215.0
ORD000582,2025-01-25,Agra,Electronics,Smart TV,25.0,2006413.5,186834.17,1240.0
ORD000586,2025-02-28,Kolkata,Clothing,Kurta,17.0,1833332.02,204945.13,1257.0
ORD000589,2025-02-15,Kochi,Groceries,Sugar,11.0,387775.74,32356.91,1268.0
ORD000590,2025-02-08,Thiruvananthapuram,Furniture,Wardrobe,5.0,712109.8,206848.01,1273.0
ORD000593,2025-01-05,Pune,Beauty,Shampoo,4.0,510807.04,163651.77,1277.0
ORD000596,2025-02-27,Kochi,Appliances,Mixer Grinder,14.0,1363069.26,402331.13,1291.0
ORD000599,2025-02-02,Thiruvananthapuram,Clothing,Kurta,4.0,532601.32,105980.06,1295.0
ORD000601,2025-02-18,Coimbatore,Groceries,Sugar,17.0,1334723.89,359249.81,1312.0
ORD000602,2025-03-18,Kochi,Sports,Football,12.0,1195082.76,302570.1,1324.0
ORD000604,2025-01-26,Thiruvananthapuram,Clothing,T-Shirt,11.0,398306.48,136196.58,1335.0
ORD000610,2025-01-02,Noida,Books,Notebook,4.0,58823.24,15170.85,1339.0
ORD000611,2025-01-24,Vadodara,Beauty,Face Wash,18.0,1410220.08,380147.29,1357.0
ORD000619,2025-03-10,Vijayawada,Groceries,Milk,11.0,1601343.7,323901.13,1368.0
ORD000624,2025-01-13,Vadodara,Sports,Yoga Mat,14.0,1697708.46,375426.32,1382.0
ORD000632,2025-03-30,Noida,Groceries,Milk,6.0,885117.9,88606.17,1388.0
ORD000633,2025-03-24,Bengaluru,Furniture,Bed,14.0,587145.02,88861.28,1402.0
ORD000634,2025-03-20,Coimbatore,Appliances,Refrigerator,15.0,1597236.45,194539.47,1417.0
ORD000644,2025-02-03,Kanpur,Furniture,Sofa,25.0,2018560.75,165480.11,1442.0
ORD000646,2025-02-14,Lucknow,Sports,Cricket Bat,1.0,68937.86,11689.32,1443.0
ORD000648,2025-01-09,Hubballi,Appliances,Mixer Grinder,15.0,1418543.55,279335.0,1458.0
ORD000676,2025-02-09,Hubballi,Clothing,Kurta,12.0,1058316.72,341329.56,1470.0
ORD000681,2025-01-12,Bhopal,Books,Exam Guide,19.0,461145.39,140653.29,1489.0
ORD000685,2025-03-29,Noida,Furniture,Dining Table,20.0,2978342.0,935710.61,1509.0
ORD000689,2025-01-20,Kolkata,Sports,Football,6.0,428596.74,105427.09,1515.0
ORD000702,2025-03-16,Hubballi,Electronics,Smartphone,21.0,18754.47,1961.6,1536.0
ORD000703,2025-02-10,Chandigarh,Books,Dictionary,3.0,29116.98,4072.82,1539.0
ORD000707,2025-03-22,Bengaluru,Clothing,Shoes,12.0,431574.84,34559.46,1551.0
ORD000714,2025-01-15,Gurugram,Groceries,Milk,22.0,1521563.78,362806.48,1573.0
ORD000726,2025-01-05,Pune,Clothing,Kurta,23.0,1788915.85,295575.13,1596.0
ORD000742,2025-01-12,Madurai,Beauty,Moisturizer,15.0,932354.4,120879.07,1611.0
ORD000745,2025-02-12,Hyderabad,Books,Dictionary,1.0,115662.96,25616.49,1612.0
ORD000762,2025-02-11,Mangalore,Appliances,Mixer Grinder,15.0,1568557.95,138925.64,1627.0
ORD000774,2025-03-10,Indore,Beauty,Shampoo,1.0,103418.57,18274.6,1628.0
ORD000779,2025-02-02,Mangalore,Electronics,Headphones,25.0,2326689.5,387597.17,1653.0
ORD000786,2025-02-06,Hyderabad,Sports,Badminton Racket,20.0,798915.2,72682.39,1673.0
ORD000794,2025-01-18,Noida,Appliances,Microwave,15.0,2159665.2,172887.29,1688.0
ORD000795,2025-01-04,Delhi,Appliances,Air Conditioner,17.0,345938.95,110834.56,1705.0
ORD000797,2025-02-18,Varanasi,Appliances,Air Conditioner,18.0,1541576.88,361245.72,1723.0
ORD000801,2025-02-10,Surat,Furniture,Wardrobe,2.0,219290.66,51664.13,1725.0
ORD000805,2025-02-16,Vijayawada,Clothing,T-Shirt,15.0,1694261.25,398691.54,1740.0
ORD000811,2025-03-28,Mysuru,Groceries,Milk,20.0,1966918.8,566106.67,1760.0
ORD000813,2025-02-27,Mangalore,Groceries,Wheat Flour,5.0,568421.45,176350.66,1765.0
ORD000814,2025-02-26,Lucknow,Electronics,Smartphone,10.0,21586.2,5770.52,1775.0
ORD000817,2025-01-23,Delhi,Clothing,Shoes,13.0,1137401.72,294760.67,1788.0
ORD000821,2025-02-15,Kolkata,Sports,Yoga Mat,11.0,800259.46,193037.57,1799.0
ORD000822,2025-01-21,Varanasi,Clothing,Jeans,15.0,1262205.9,343782.83,1814.0
ORD000823,2025-01-10,Surat,Groceries,Tea Powder,11.0,808950.23,227303.28,1825.0
ORD000825,2025-01-16,Agra,Appliances,Refrigerator,13.0,1736426.51,520948.5,1838.0
ORD000826,2025-02-14,Lucknow,Appliances,Washing Machine,11.0,1480452.38,381026.36,1849.0
ORD000829,2025-03-11,Surat,Groceries,Wheat Flour,23.0,2433398.62,538821.33,1872.0
ORD000860,2025-02-04,Surat,Electronics,Laptop,11.0,608834.16,110998.76,1883.0
ORD000866,2025-03-02,Patna,Clothing,Saree,23.0,1003815.68,132764.63,1906.0
ORD000868,2025-01-06,Coimbatore,Sports,Cricket Bat,12.0,1009275.36,254464.52,1918.0
ORD000889,2025-02-24,Jaipur,Books,Novel,1.0,70663.26,18540.9,1919.0
ORD000896,2025-03-07,Kanpur,Books,Exam Guide,10.0,1152144.3,280200.18,1929.0
ORD000902,2025-02-25,Nagpur,Furniture,Bed,10.0,1433869.3,141657.77,1939.0
ORD000907,2025-01-28,Vadodara,Sports,Football,2.0,110893.02,25305.67,1941.0
ORD000908,2025-01-16,Goa,Electronics,Camera,12.0,198525.36,31008.97,1953.0
ORD000911,2025-03-06,Guwahati,Sports,Badminton Racket,5.0,216708.9,68401.7,1958.0
ORD000918,2025-02-10,Madurai,Furniture,Dining Table,25.0,2921314.75,600426.02,1983.0
ORD000919,2025-02-09,Kochi,Furniture,Dining Table,21.0,2336853.75,792920.14,2004.0
ORD000925,2025-01-08,Jaipur,Appliances,Microwave,20.0,844353.8,263119.02,2024.0
ORD000927,2025-01-17,Ludhiana,Clothing,Jacket,16.0,435252.8,96798.04,2040.0
ORD000937,2025-02-04,Visakhapatnam,Beauty,Perfume,18.0,30341.52,2496.76,2058.0
ORD000945,2025-02-25,Indore,Furniture,Bed,20.0,1179118.0,299826.66,2078.0
ORD000948,2025-01-20,Thiruvananthapuram,Books,Novel,5.0,489822.55,39300.55,2083.0
ORD000949,2025-01-02,Lucknow,Sports,Badminton Racket,23.0,1139457.95,211550.85,2106.0
ORD000952,2025-01-29,Tirupati,Books,Novel,12.0,600991.32,97218.51,2118.0
ORD000958,2025-01-22,Bengaluru,Books,Novel,11.0,93528.16,27375.71,2129.0
ORD000961,2025-03-30,Bengaluru,Electronics,Smart TV,8.0,841795.12,97012.84,2137.0
ORD000962,2025-02-02,Kolkata,Electronics,Tablet,15.0,1375841.4,420381.57,2152.0
ORD000965,2025-02-02,Bhopal,Clothing,Jacket,25.0,173335.5,21984.29,2177.0
ORD000974,2025-03-18,Bhopal,Groceries,Cooking Oil,9.0,72495.45,8005.19,2186.0
ORD000977,2025-03-22,Kolkata,Books,Novel,24.0,191117.76,43018.19,2210.0
ORD000984,2025-03-29,Jaipur,Electronics,Tablet,4.0,511050.16,104160.36,2214.0
ORD000992,2025-02-16,Jaipur,Sports,Football,12.0,533267.88,135910.17,2226.0
ORD000997,2025-01-29,Chennai,Groceries,Sugar,20.0,2642780.0,736424.95,2246.0
ORD001010,2025-03-29,Surat,Books,Exam Guide,19.0,377718.86,110718.47,2265.0
ORD001011,2025-01-25,Kochi,Appliances,Washing Machine,12.0,1747338.36,502940.64,2277.0
ORD001012,2025-03-24,Vadodara,Clothing,Jacket,15.0,2151546.9,531496.98,2292.0
ORD001013,2025-03-20,Nagpur,Appliances,Washing Machine,23.0,2391070.8,621477.82,2315.0
ORD001019,2025-03-17,Vadodara,Appliances,Mixer Grinder,25.0,3677635.0,863900.17,2340.0
ORD001031,2025-03-12,Goa,Sports,Football,15.0,1598490.45,453836.71,2355.0
ORD001033,2025-01-14,Surat,Appliances,Air Conditioner,16.0,1342979.68,275488.1,2371.0
ORD001036,2025-02-04,Pune,Groceries,Rice,25.0,1041370.75,362886.36,2396.0
ORD001039,2025-03-11,Hyderabad,Clothing,Saree,5.0,240101.0,76146.99,2401.0
ORD001043,2025-02-19,Surat,Beauty,Face Wash,9.0,925632.09,246082.62,2410.0
ORD001047,2025-01-09,Gurugram,Furniture,Bed,3.0,52719.57,6085.56,2413.0
ORD001049,2025-03-07,Surat,Beauty,Perfume,1.0,111694.59,12512.16,2414.0
ORD001050,2025-02-10,Patna,Clothing,Shoes,10.0,188890.9,21752.47,2424.0
ORD001051,2025-01-22,Ahmedabad,Sports,Cricket Bat,1.0,116226.38,33064.1,2425.0
ORD001052,2025-03-02,Bengaluru,Groceries,Rice,22.0,1695551.66,162775.7,2447.0
ORD001065,2025-02-23,Nagpur,Books,Notebook,1.0,149808.63,31871.05,2448.0
ORD001067,2025-02-03,Kolkata,Sports,Yoga Mat,24.0,3331224.48,1146009.17,2472.0
ORD001068,2025-03-04,Coimbatore,Beauty,Perfume,7.0,624992.41,217171.46,2479.0
ORD001081,2025-01-15,Mysuru,Sports,Yoga Mat,25.0,3666741.5,610623.75,2504.0
ORD001084,2025-02-13,Ludhiana,Electronics,Camera,8.0,282158.8,46349.34,2512.0
ORD001085,2025-01-20,Pune,Furniture,Chair,11.0,281049.01,63340.73,2523.0
ORD001092,2025-02-09,Madurai,Appliances,Refrigerator,16.0,1025970.72,178288.53,2539.0
ORD001105,2025-03-13,Chennai,Sports,Badminton Racket,13.0,1839240.13,506790.3,2552.0
ORD001112,2025-01-18,Surat,Books,Notebook,1.0,96845.1,31417.71,2553.0
ORD001121,2025-02-12,Vijayawada,Clothing,T-Shirt,7.0,659971.27,108700.49,2560.0
ORD001123,2025-03-10,Guwahati,Clothing,Saree,11.0,745561.74,235483.12,2571.0
ORD001126,2025-01-26,Gurugram,Groceries,Rice,7.0,275389.1,85369.06,2578.0
ORD001131,2025-01-15,Indore,Groceries,Milk,14.0,379924.16,111684.46,2592.0
ORD001134,2025-02-07,Hubballi,Sports,Football,23.0,1461680.13,352619.96,2615.0
ORD001137,2025-03-28,Jaipur,Sports,Badminton Racket,18.0,112763.52,14482.28,2633.0
ORD001150,2025-01-23,Nashik,Books,Exam Guide,20.0,1974702.8,333616.7,2653.0
ORD001158,2025-02-17,Mangalore,Furniture,Bed,20.0,560694.8,140333.66,2673.0
ORD001162,2025-02-09,Madurai,Appliances,Washing Machine,14.0,621497.8,57728.84,2687.0
ORD001164,2025-02-28,Agra,Appliances,Microwave,19.0,234787.94,50697.77,2706.0
ORD001168,2025-03-29,Tirupati,Furniture,Bed,1.0,976.48,108.88,2707.0
ORD001171,2025-01-09,Jaipur,Appliances,Refrigerator,5.0,10900.0,1201.36,2712.0
ORD001173,2025-01-12,Surat,Groceries,Rice,25.0,1739187.25,361711.04,2737.0
ORD001183,2025-02-14,Kanpur,Beauty,Shampoo,20.0,623211.4,166078.57,2757.0
ORD001185,2025-01-10,Surat,Sports,Gym Gloves,8.0,251952.0,23356.79,2765.0
ORD001187,2025-03-03,Ahmedabad,Electronics,Smart Watch,11.0,711150.11,175470.59,2776.0
ORD001193,2025-03-04,Lucknow,Books,Novel,21.0,,345478.24,2797.0
ORD001204,2025-01-19,Vijayawada,Books,Notebook,25.0,741865.75,119747.13,2822.0
ORD001205,2025-02-17,Jaipur,Beauty,Shampoo,17.0,2529419.8,396260.23,2839.0
ORD001208,2025-01-25,Mangalore,Electronics,Smart Watch,9.0,846771.57,148784.37,2848.0
ORD001219,2025-03-20,Pune,Sports,Cricket Bat,12.0,1029690.48,93574.34,2860.0
ORD001229,2025-01-10,Madurai,Electronics,Headphones,7.0,788261.11,170037.76,2867.0
ORD001233,2025-03-28,Agra,Beauty,Shampoo,3.0,51855.69,5539.23,2870.0
ORD001245,2025-03-24,Bhopal,Sports,Badminton Racket,19.0,2396252.64,373705.3,2889.0
ORD001251,2025-02-09,Tirupati,Books,Exam Guide,3.0,354351.15,90450.35,2892.0
ORD001253,2025-03-05,Nagpur,Beauty,Shampoo,25.0,3044981.75,1052421.16,2917.0
ORD001262,2025-03-04,Visakhapatnam,Electronics,Smart Watch,14.0,1773335.2,336679.2,2931.0
ORD001275,2025-02-25,Delhi,Furniture,Chair,15.0,1164453.15,277966.15,2946.0
ORD001279,2025-03-16,Mysuru,Sports,Yoga Mat,10.0,875915.2,198052.14,2956.0
ORD001280,2025-01-05,Surat,Clothing,Kurta,20.0,1030015.2,184974.35,2976.0
ORD001281,2025-01-28,Ludhiana,Clothing,T-Shirt,17.0,2089226.05,482718.77,2993.0
ORD001282,2025-02-05,Indore,Sports,Badminton Racket,7.0,672834.12,90388.89,3000.0
ORD001284,2025-02-23,Coimbatore,Beauty,Moisturizer,20.0,900295.6,151904.3,3020.0
ORD001291,2025-01-11,Delhi,Clothing,Jeans,6.0,758687.52,247237.46,3026.0
ORD001298,2025-03-27,Chennai,Books,Engineering Book,16.0,1898727.68,467123.73,3042.0
ORD001302,2025-03-22,Bhopal,Groceries,Cooking Oil,10.0,638109.3,116016.18,3052.0
ORD001315,2025-03-13,Noida,Sports,Football,15.0,1919344.8,169148.21,3067.0
ORD001318,2025-03-20,Delhi,Appliances,Microwave,19.0,2238677.66,736477.78,3086.0
ORD001324,2025-03-08,Visakhapatnam,Electronics,Smartphone,14.0,822173.52,285450.99,3100.0
ORD001325,2025-03-08,Ahmedabad,Sports,Gym Gloves,13.0,1862497.13,584337.73,3113.0
ORD001329,2025-02-16,Thiruvananthapuram,Beauty,Moisturizer,15.0,1041870.75,94344.41,3128.0
ORD001334,2025-02-09,Guwahati,Groceries,Cooking Oil,25.0,2074207.5,723349.63,3153.0
ORD001337,2025-02-28,Vijayawada,Sports,Badminton Racket,7.0,416930.36,34563.15,3160.0
ORD001339,2025-03-24,,Groceries,Sugar,5.0,353355.4,54900.23,3165.0
ORD001342,2025-01-25,Bengaluru,Groceries,Sugar,22.0,1757614.98,350390.56,3187.0
ORD001344,2025-01-09,Ludhiana,Sports,Football,12.0,1635870.96,219200.39,3199.0
ORD001345,2025-02-02,Mumbai,Sports,Cricket Bat,11.0,1354066.23,356917.06,3210.0
ORD001346,2025-02-25,Kanpur,Groceries,Rice,24.0,603369.12,115987.82,3234.0
ORD001348,2025-03-30,Pune,Sports,Gym Gloves,8.0,257164.96,45331.91,3242.0
ORD001349,2025-02-03,Visakhapatnam,Electronics,Smart TV,1.0,58439.08,11913.95,3243.0
ORD001358,2025-01-21,Jaipur,Books,Notebook,9.0,429291.45,125560.08,3252.0
ORD001361,2025-01-04,Hubballi,Groceries,Tea Powder,17.0,821327.46,163803.45,3269.0
ORD001364,2025-03-26,Varanasi,Groceries,Wheat Flour,3.0,191980.05,39569.02,3272.0
ORD001370,2025-02-06,Gurugram,Books,Notebook,10.0,563345.2,137246.01,3282.0
ORD001371,2025-01-07,Kochi,Beauty,Perfume,7.0,163052.4,21392.31,3289.0
ORD001376,2025-01-18,Hubballi,Electronics,Camera,14.0,1545264.84,224736.02,3303.0
ORD001377,2025-03-17,Lucknow,Beauty,Lipstick,9.0,817693.2,273887.65,3312.0
ORD001379,2025-03-26,Chennai,Sports,Gym Gloves,17.0,2320523.46,734495.95,3329.0
ORD001382,2025-03-28,Bhopal,Clothing,Jacket,24.0,1434137.76,234032.77,3353.0
ORD001392,2025-01-30,Ludhiana,Beauty,Face Wash,12.0,1197542.76,218165.51,3365.0
ORD001396,2025-01-09,Mumbai,Sports,Football,21.0,3016362.72,903120.54,3386.0
ORD001402,2025-03-24,Chennai,Groceries,Wheat Flour,4.0,261162.08,71364.26,3390.0
ORD001406,2025-02-14,Chandigarh,Sports,Yoga Mat,8.0,268882.16,29909.45,3398.0
ORD001410,2025-02-24,Jaipur,Beauty,Face Wash,17.0,1693115.68,405517.32,3415.0
ORD001424,2025-03-18,Varanasi,Electronics,Laptop,21.0,1067619.42,210461.73,3436.0
ORD001427,2025-01-06,Hubballi,Furniture,Bed,9.0,853981.11,170951.59,3445.0
ORD001430,2025-03-06,Kochi,Clothing,Kurta,21.0,2214245.67,355515.09,3466.0
ORD001434,2025-01-03,Pune,Furniture,Dining Table,6.0,775885.92,207711.09,3472.0
ORD001435,2025-03-24,Pune,Books,Notebook,2.0,38819.04,5267.05,3474.0
ORD001437,2025-01-01,Tirupati,Appliances,Microwave,6.0,381092.34,127746.61,3480.0
ORD001446,2025-01-14,Lucknow,Clothing,Kurta,11.0,1637549.1,322727.07,3491.0
ORD001448,2025-03-16,Chennai,Furniture,Chair,12.0,1636750.56,474787.22,3503.0
ORD001454,2025-03-06,Mumbai,Clothing,Jacket,22.0,1695836.12,206862.58,3525.0
ORD001458,2025-02-16,Chennai,Groceries,Milk,10.0,610365.7,100367.9,3535.0
ORD001462,2025-01-04,Mumbai,Furniture,Bed,20.0,572171.6,174213.27,3555.0
ORD001475,2025-01-21,Mysuru,Sports,Cricket Bat,23.0,686546.55,90063.31,3578.0
ORD001488,2025-02-26,Hyderabad,Sports,Gym Gloves,17.0,1090009.74,102403.13,3595.0
ORD001494,2025-02-24,Nashik,Beauty,Perfume,7.0,613834.55,63564.05,3602.0
ORD001514,2025-03-17,Noida,Sports,Football,8.0,875990.4,172704.98,3610.0
ORD001517,2025-02-06,Vijayawada,Clothing,Jeans,22.0,2006675.66,198164.46,3632.0
ORD001519,2025-02-26,Mumbai,Clothing,Shoes,20.0,300990.4,55285.15,3652.0
ORD001520,2025-03-15,Bengaluru,Electronics,Smart Watch,5.0,186633.05,19143.1,3657.0
ORD001530,2025-02-23,Surat,Sports,Football,20.0,2453052.6,426988.48,3677.0
ORD001531,2025-02-09,Mangalore,Appliances,Mixer Grinder,9.0,1094641.56,297800.31,3686.0
ORD001539,2025-01-31,Goa,Electronics,Tablet,16.0,2298345.6,755337.74,3702.0
ORD001543,2025-01-16,Ahmedabad,Furniture,Bookshelf,16.0,2010109.44,633242.33,3718.0
