City,Category,Product,Quantity_Sold,Unit_Price,Total_Revenue,Sale_Date
Bhopal,Office,Backpack,120.0,4472,536640,2025-04-22
Surat,Accessories,Keyboard,34.0,6684,227256,2025-03-22
Ahmedabad,Accessories,Speaker,41.0,12518,513238,2025-02-01
Jaipur,Home Appliances,Air Cooler,13.0,1400,18200,2025-09-07
Kolkata,Accessories,Keyboard,120.0,5918,710160,2025-02-08
Hyderabad,Accessories,Keyboard,57.0,13860,790020,2025-09-23
Jaipur,Home Appliances,Air Cooler,68.0,328,22304,2025-11-27
Mysuru,Accessories,Headphones,113.0,2400,271200,2025-05-04
Chennai,Electronics,Monitor,20.0,4662,93240,2025-05-20
Ahmedabad,Accessories,Keyboard,88.0,10591,932008,2025-05-17
Hyderabad,Accessories,Headphones,12.0,10592,127104,2025-07-27
Hyderabad,Electronics,Laptop,43.0,12834,551862,2025-03-21
Bengaluru,Fashion,Watch,71.0,11761,835031,2025-07-18
Bengaluru,Electronics,Laptop,114.0,11521,1313394,2025-03-18
Kolkata,Accessories,Keyboard,56.0,2288,128128,2025-01-10
Mumbai,Electronics,Tablet,27.0,11374,307098,2025-04-22
Kochi,Accessories,Speaker,80.0,12479,998320,2025-03-08
Bhopal,Fashion,Jeans,113.0,6955,785915,2025-01-06
Chennai,Accessories,Speaker,103.0,11175,1151025,2025-12-26
Kochi,Accessories,Keyboard,101.0,11689,1180589,2025-02-13
Hyderabad,Electronics,Camera,29.0,3469,100601,2025-08-12
Kolkata,Fashion,Jeans,4.0,11013,44052,2025-04-13
Jaipur,Accessories,Headphones,99.0,4773,472527,2025-06-21
Lucknow,Office,Backpack,4.0,2089,8356,2025-05-06
Bhopal,Accessories,Headphones,14.0,9974,139636,2025-07-12
Mysuru,Accessories,Speaker,78.0,8579,669162,2025-02-13
Bengaluru,Home Appliances,Mixer,33.0,927,30591,2025-12-14
Surat,Home Appliances,Air Cooler,88.0,11987,1054856,2025-12-24
Lucknow,Fashion,Shoes,56.0,1346,75376,2025-11-11
Hyderabad,Accessories,Headphones,93.0,14946,1389978,2025-05-17
Delhi,Office,Backpack,52.0,11623,604396,2025-05-18
Mysuru,Fashion,Watch,86.0,6411,551346,2025-11-24
Hyderabad,Fashion,Shoes,52.0,9177,477204,2025-01-10
Kolkata,Fashion,Watch,101.0,9702,979902,2025-10-21
Ahmedabad,Office,Backpack,57.0,11269,642333,2025-04-17
Lucknow,Fashion,T-Shirt,37.0,8645,319865,2025-11-21
Hyderabad,Accessories,Headphones,105.0,12506,1313130,2025-04-22
Ahmedabad,Fashion,Jeans,19.0,600,11400,2025-01-08
Chennai,Home Appliances,Mixer,59.0,6990,412410,2025-11-19
Bhopal,Office,Backpack,52.0,4197,218244,2025-03-21
Patna,Electronics,Laptop,100.0,7165,716500,2025-04-06
Mumbai,Home Appliances,Fan,7.0,9332,65324,2025-04-28
Jaipur,Office,Printer,103.0,7812,804636,2025-11-17
Kochi,Home Appliances,Fan,97.0,14805,1436085,2025-08-20
Bhopal,Home Appliances,Fan,107.0,9176,981832,2025-08-06
Surat,Office,Backpack,34.0,12517,425578,2025-04-27
Mumbai,Accessories,Speaker,81.0,4119,333639,2025-05-15
Mumbai,Accessories,Keyboard,35.0,5702,199570,2025-06-18
Bhopal,Fashion,Jeans,30.0,6475,194250,2025-12-05
Ahmedabad,Fashion,T-Shirt,54.0,6878,371412,2025-06-18
Mysuru,Office,Printer,27.0,13846,373842,2025-07-13
Ahmedabad,Home Appliances,Air Cooler,3.0,14236,42708,2025-10-13
Mysuru,Electronics,Tablet,39.0,12544,489216,2025-07-28
Ahmedabad,Office,Printer,63.0,3795,239085,2025-05-14
Pune,Electronics,Camera,44.0,11158,490952,2025-11-26
Bengaluru,Fashion,Watch,118.0,2291,270338,2025-10-18
Kochi,Office,Printer,11.0,10730,118030,2025-07-05
Chennai,Office,Printer,7.0,4462,31234,2025-07-11
Patna,Office,Backpack,44.0,12671,557524,2025-07-09
Bhopal,Office,Backpack,107.0,1541,164887,2025-08-01
Patna,Home Appliances,Mixer,45.0,3873,174285,2025-11-03
Delhi,Electronics,Laptop,32.0,3466,110912,2025-01-20
Chennai,Fashion,Jeans,61.0,11168,681248,2025-02-19
Lucknow,Office,Backpack,99.0,6243,618057,2025-03-20
Mysuru,Electronics,Smartphone,40.0,1971,78840,2025-10-01
Lucknow,Accessories,Speaker,51.0,11914,607614,2025-04-03
Surat,Fashion,T-Shirt,90.0,12856,1157040,2025-05-28
Jaipur,Home Appliances,Mixer,102.0,9472,966144,2025-01-12
Bengaluru,Office,Backpack,9.0,8489,76401,2025-11-11
Mysuru,Office,Backpack,14.0,7302,102228,2025-06-21
Surat,Office,Printer,56.0,3085,172760,2025-12-17
Hyderabad,Accessories,Speaker,60.0,7336,440160,2025-12-19
Chennai,Accessories,Keyboard,107.0,1619,173233,2025-05-15
Kolkata,Office,Backpack,44.0,670,29480,2025-08-28
Hyderabad,Fashion,Watch,28.0,6013,168364,2025-05-11
Jaipur,Home Appliances,Air Cooler,113.0,4726,534038,2025-09-01
Jaipur,Fashion,T-Shirt,31.0,11997,371907,2025-07-16
Patna,Fashion,Watch,83.0,11862,984546,2025-08-15
Chennai,Electronics,Laptop,38.0,3830,145540,2025-07-23
Pune,Accessories,Mouse,61.0,9268,565348,2025-09-12
Hyderabad,Home Appliances,Fan,46.0,11715,538890,2025-08-09
Mumbai,Accessories,Keyboard,16.0,12017,192272,2025-04-11
Ahmedabad,Home Appliances,Air Cooler,24.0,3338,80112,2025-04-24
Chennai,Accessories,Mouse,13.0,13841,179933,2025-04-10
Delhi,Accessories,Keyboard,39.0,431,16809,2025-12-18
Delhi,Accessories,Headphones,7.0,9266,64862,2025-05-23
Ahmedabad,Office,Printer,112.0,400,44800,2025-10-10
Kochi,Office,Backpack,44.0,3220,141680,2025-01-09
Mumbai,Office,Printer,106.0,1270,134620,2025-07-16
Patna,Home Appliances,Air Cooler,88.0,1078,94864,2025-03-05
Patna,Home Appliances,Fan,11.0,4266,46926,2025-02-18
Mysuru,Office,Printer,100.0,8761,876100,2025-07-15
Lucknow,Office,Backpack,111.0,9842,1092462,2025-07-10
Chennai,Home Appliances,Mixer,79.0,12325,973675,2025-02-25
Delhi,Fashion,Shoes,85.0,1530,130050,2025-03-08
Bhopal,Home Appliances,Mixer,21.0,243,5103,2025-07-15
Bhopal,Home Appliances,Fan,38.0,734,27892,2025-04-10
Patna,Accessories,Speaker,10.0,11462,114620,2025-04-09
Jaipur,Home Appliances,Air Cooler,103.0,3441,354423,2025-07-04
Bengaluru,Fashion,Jeans,117.0,4552,532584,2025-03-03
Ahmedabad,Fashion,Shoes,77.0,12470,960190,2025-10-10
Hyderabad,Electronics,Camera,89.0,5182,461198,2025-12-13
Bengaluru,Home Appliances,Air Cooler,64.0,7372,471808,2025-02-20
Chennai,Office,Backpack,78.0,4302,335556,2025-01-03
Hyderabad,Home Appliances,Air Cooler,3.0,12729,38187,2025-11-27
Jaipur,Home Appliances,Mixer,98.0,12590,1233820,2025-03-16
Kochi,Office,Backpack,24.0,9790,234960,2025-07-21
Kolkata,Office,Printer,61.0,5900,359900,2025-07-11
Hyderabad,Electronics,Smartphone,43.0,6944,298592,2025-12-16
Kolkata,Office,Printer,59.0,1642,96878,2025-06-09
Kochi,Electronics,Camera,111.0,8631,958041,2025-01-22
Kolkata,Home Appliances,Fan,53.0,1088,57664,2025-04-17
Hyderabad,Home Appliances,Fan,81.0,7442,602802,2025-01-07
Ahmedabad,Home Appliances,Mixer,119.0,4919,585361,2025-08-23
Delhi,Electronics,Laptop,81.0,10175,824175,2025-04-23
Kochi,Accessories,Headphones,71.0,6884,488764,2025-02-08
Mysuru,Electronics,Camera,16.0,10812,172992,2025-03-16
Chennai,Accessories,Mouse,54.0,13876,749304,2025-08-16
Bhopal,Office,Printer,50.0,3322,166100,2025-10-17
Mysuru,Fashion,T-Shirt,36.0,12859,462924,2025-07-11
Hyderabad,Home Appliances,Fan,106.0,242,25652,2025-05-24
Jaipur,Home Appliances,Air Cooler,85.0,8222,698870,2025-03-15
Ahmedabad,Office,Backpack,43.0,9242,397406,2025-09-13
Chennai,Accessories,Keyboard,90.0,4112,370080,2025-10-13
Mysuru,Office,Printer,41.0,12401,508441,2025-08-23
Ahmedabad,Office,Backpack,85.0,13182,1120470,2025-11-05
Mumbai,Electronics,Smartphone,65.0,9869,641485,2025-06-28
Delhi,Office,Printer,68.0,7686,522648,2025-01-24
Lucknow,Office,Printer,10.0,7892,78920,2025-05-11
Jaipur,Office,Printer,110.0,5583,614130,2025-11-28
Jaipur,Office,Backpack,81.0,11975,969975,2025-08-28
Mysuru,Electronics,Monitor,9.0,4046,36414,2025-11-22
Patna,Accessories,Keyboard,96.0,1680,161280,2025-07-04
Bengaluru,Electronics,Camera,22.0,11570,254540,2025-05-01
Delhi,Accessories,Headphones,38.0,6073,230774,2025-06-14
Delhi,Fashion,Watch,73.0,11370,830010,2025-03-06
Chennai,Electronics,Monitor,112.0,6467,724304,2025-10-22
Ahmedabad,Office,Printer,30.0,7755,232650,2025-11-09
Surat,Accessories,Headphones,116.0,13383,1552428,2025-08-10
Hyderabad,Home Appliances,Mixer,10.0,7437,74370,2025-06-19
Pune,Office,Backpack,59.0,14049,828891,2025-05-07
Lucknow,Office,Printer,31.0,6448,199888,2025-10-12
Hyderabad,Accessories,Mouse,3.0,13799,41397,2025-11-13
Mysuru,Electronics,Monitor,111.0,11436,1269396,2025-12-02
Patna,Home Appliances,Air Cooler,64.0,13845,886080,2025-05-25
Hyderabad,Fashion,Shoes,29.0,10630,308270,2025-04-20
Hyderabad,Fashion,T-Shirt,116.0,10480,1215680,2025-11-02
Mumbai,Office,Printer,75.0,6177,463275,2025-12-05
Delhi,Accessories,Mouse,96.0,7007,672672,2025-03-07
Delhi,Home Appliances,Fan,68.0,8421,572628,2025-05-27
Kolkata,Accessories,Speaker,104.0,5035,523640,2025-12-28
Surat,Electronics,Camera,10.0,2506,25060,2025-04-28
Hyderabad,Office,Backpack,12.0,13154,157848,2025-07-01
Surat,Home Appliances,Mixer,59.0,6238,368042,2025-11-24
Surat,Accessories,Speaker,106.0,10661,1130066,2025-06-04
Mysuru,Fashion,Watch,4.0,10350,41400,2025-09-11
Ahmedabad,Home Appliances,Mixer,83.0,1235,102505,2025-11-27
Hyderabad,Accessories,Speaker,15.0,2490,37350,2025-01-02
Pune,Office,Printer,13.0,4046,52598,2025-09-05
Pune,Office,Backpack,86.0,12375,1064250,2025-12-18
Mumbai,Home Appliances,Air Cooler,94.0,2731,256714,2025-07-21
Chennai,Office,Backpack,36.0,736,26496,2025-12-12
Surat,Office,Backpack,31.0,14215,440665,2025-06-04
Mumbai,Accessories,Mouse,8.0,6723,53784,2025-05-07
Lucknow,Office,Printer,85.0,3675,312375,2025-11-21
Patna,Electronics,Laptop,101.0,5664,572064,2025-04-05
Lucknow,Home Appliances,Mixer,9.0,13795,124155,2025-09-07
Mysuru,Fashion,Jeans,43.0,12887,554141,2025-03-26
Jaipur,Home Appliances,Mixer,36.0,14264,513504,2025-03-05
Bengaluru,Accessories,Keyboard,15.0,11030,165450,2025-01-05
Hyderabad,Accessories,Keyboard,76.0,5504,418304,2025-01-06
Bhopal,Electronics,Smartphone,95.0,7097,674215,2025-09-04
Lucknow,Electronics,Camera,58.0,12947,750926,2025-06-17
Bhopal,Electronics,Camera,65.0,3829,248885,2025-10-02
Ahmedabad,Home Appliances,Fan,59.0,10740,633660,2025-01-02
Mysuru,Office,Backpack,88.0,1968,173184,2025-08-23
Delhi,Office,Printer,116.0,1523,176668,2025-06-20
Jaipur,Electronics,Smartphone,36.0,10428,375408,2025-11-19
Jaipur,Accessories,Speaker,77.0,8892,684684,2025-05-15
Kochi,Home Appliances,Fan,13.0,13194,171522,2025-12-04
Mysuru,Home Appliances,Air Cooler,111.0,3722,413142,2025-07-15
Pune,Fashion,Watch,44.0,13756,605264,2025-08-13
Kolkata,Electronics,Tablet,55.0,5320,292600,2025-11-09
Pune,Fashion,Watch,9.0,1694,15246,2025-02-03
Lucknow,Electronics,Tablet,104.0,2331,242424,2025-09-02
Kolkata,Home Appliances,Air Cooler,43.0,11177,480611,2025-02-14
Mumbai,Office,Printer,37.0,10037,371369,2025-05-12
Chennai,Home Appliances,Air Cooler,28.0,2735,76580,2025-11-16
Patna,Electronics,Tablet,109.0,9313,1015117,2025-06-04
Kochi,Accessories,Keyboard,104.0,7230,751920,2025-09-25
Lucknow,Home Appliances,Air Cooler,87.0,10729,933423,2025-09-01
Hyderabad,Accessories,Headphones,24.0,4677,112248,2025-12-25
Surat,Accessories,Mouse,1.0,3172,3172,2025-03-19
Mumbai,Office,Printer,19.0,12340,234460,2025-11-01
Delhi,Home Appliances,Mixer,49.0,7078,346822,2025-08-11
Mumbai,Accessories,Mouse,93.0,5514,512802,2025-10-20
Surat,Electronics,Smartphone,21.0,12560,263760,2025-10-02
Lucknow,Electronics,Tablet,57.0,11045,629565,2025-07-16
Kolkata,Office,Backpack,35.0,3731,130585,2025-09-04
Ahmedabad,Office,Printer,37.0,11311,418507,2025-11-19
Lucknow,Home Appliances,Air Cooler,40.0,944,37760,2025-04-13
Delhi,Electronics,Laptop,27.0,5138,138726,2025-04-25
Bhopal,Accessories,Mouse,42.0,2165,90930,2025-01-16
Chennai,Office,Printer,17.0,6429,109293,2025-09-23
Pune,Home Appliances,Air Cooler,107.0,11145,1192515,2025-06-03
Kolkata,Electronics,Camera,3.0,7732,23196,2025-02-28
Pune,Home Appliances,Fan,74.0,6826,505124,2025-12-21
Patna,Accessories,Headphones,52.0,541,28132,2025-06-06
Pune,Home Appliances,Fan,107.0,11498,1230286,2025-06-03
Mumbai,Electronics,Smartphone,56.0,9848,551488,2025-07-17
Patna,Office,Backpack,96.0,5762,553152,2025-04-11
Jaipur,Fashion,T-Shirt,66.0,10574,697884,2025-02-17
Delhi,Fashion,Shoes,45.0,12117,545265,2025-11-27
Lucknow,Fashion,T-Shirt,19.0,4393,83467,2025-04-06
Ahmedabad,Fashion,T-Shirt,23.0,12862,295826,2025-11-16
Surat,Home Appliances,Air Cooler,58.0,11359,658822,2025-10-21
Ahmedabad,Home Appliances,Fan,111.0,10476,1162836,2025-06-05
Hyderabad,Electronics,Camera,57.0,10544,601008,2025-05-26
Ahmedabad,Home Appliances,Mixer,46.0,8512,391552,2025-02-10
Surat,Office,Printer,8.0,6241,49928,2025-05-03
Lucknow,Electronics,Monitor,77.0,8507,655039,2025-07-15
Lucknow,Home Appliances,Air Cooler,115.0,872,100280,2025-08-26
Bengaluru,Fashion,Shoes,78.0,7992,623376,2025-09-05
Mumbai,Office,Printer,104.0,14931,1552824,2025-06-23
Ahmedabad,Home Appliances,Air Cooler,23.0,841,19343,2025-04-23
Pune,Office,Printer,47.0,6308,296476,2025-05-13
Mumbai,Accessories,Headphones,102.0,10536,1074672,2025-11-11
Hyderabad,Accessories,Headphones,72.0,11314,814608,2025-07-10
Delhi,Home Appliances,Mixer,43.0,1535,66005,2025-10-22
Delhi,Accessories,Mouse,84.0,11643,978012,2025-11-13
Surat,Home Appliances,Air Cooler,11.0,5272,57992,2025-09-13
Mysuru,Accessories,Keyboard,86.0,11715,1007490,2025-12-22
Kolkata,Home Appliances,Mixer,83.0,11184,928272,2025-07-17
Patna,Electronics,Tablet,40.0,3153,126120,2025-04-11
Hyderabad,Office,Printer,29.0,2453,71137,2025-03-03
Bengaluru,Electronics,Monitor,99.0,9043,895257,2025-12-17
Delhi,Accessories,Keyboard,77.0,6372,490644,2025-03-06
Kolkata,Home Appliances,Mixer,93.0,7370,685410,2025-01-14
Ahmedabad,Fashion,Watch,79.0,4868,384572,2025-12-26
Chennai,Fashion,Jeans,40.0,13448,537920,2025-08-27
Pune,Accessories,Speaker,60.0,12806,768360,2025-05-25
Lucknow,Home Appliances,Air Cooler,54.0,2855,154170,2025-04-26
Kolkata,Fashion,Shoes,7.0,10705,74935,2025-08-28
Mumbai,Home Appliances,Mixer,92.0,14059,1293428,2025-09-28
Mysuru,Accessories,Headphones,98.0,2826,276948,2025-05-15
Kochi,Home Appliances,Mixer,107.0,7367,788269,2025-02-08
Pune,Office,Backpack,120.0,636,76320,2025-07-02
Chennai,Home Appliances,Fan,31.0,6526,202306,2025-02-12
Kolkata,Electronics,Tablet,120.0,1823,218760,2025-12-21
Kochi,Fashion,Jeans,5.0,4900,24500,2025-08-23
Bengaluru,Fashion,Watch,58.0,10281,596298,2025-01-03
Lucknow,Accessories,Keyboard,107.0,2649,283443,2025-09-24
Hyderabad,Home Appliances,Fan,15.0,12916,193740,2025-05-08
Lucknow,Electronics,Laptop,31.0,7078,219418,2025-11-26
Jaipur,Office,Printer,15.0,13908,208620,2025-08-20
Hyderabad,Electronics,Monitor,74.0,4163,308062,2025-12-05
Pune,Office,Printer,79.0,5980,472420,2025-04-19
Jaipur,Fashion,T-Shirt,68.0,6108,415344,2025-02-17
Ahmedabad,Home Appliances,Air Cooler,71.0,533,37843,2025-07-28
Kolkata,Electronics,Camera,48.0,4355,209040,2025-12-01
Mumbai,Electronics,Tablet,31.0,12208,378448,2025-11-21
Kolkata,Home Appliances,Air Cooler,97.0,5647,547759,2025-03-02
Patna,Home Appliances,Fan,105.0,10731,1126755,2025-03-27
Bhopal,Office,Backpack,81.0,3186,258066,2025-03-03
Chennai,Office,Printer,38.0,3502,133076,2025-01-26
Kochi,Electronics,Tablet,120.0,5280,633600,2025-09-13
Hyderabad,Home Appliances,Fan,33.0,799,26367,2025-11-07
Mumbai,Accessories,Headphones,111.0,10943,1214673,2025-06-09
Mysuru,Accessories,Speaker,114.0,6753,769842,2025-12-15
Kolkata,Office,Backpack,24.0,8329,199896,2025-12-16
Mumbai,Home Appliances,Fan,103.0,1553,159959,2025-12-14
Mumbai,Office,Printer,70.0,5013,350910,2025-06-04
Pune,Accessories,Mouse,40.0,7505,300200,2025-10-23
Kochi,Fashion,Watch,45.0,7525,338625,2025-01-24
Surat,Accessories,Speaker,36.0,10677,384372,2025-01-03
Delhi,Office,Backpack,66.0,13325,879450,2025-12-22
Ahmedabad,Electronics,Smartphone,109.0,10154,1106786,2025-11-26
Kolkata,Electronics,Smartphone,9.0,4066,36594,2025-11-12
Kolkata,Office,Printer,78.0,2713,211614,2025-11-15
Jaipur,Accessories,Speaker,98.0,1459,142982,2025-10-05
Mumbai,Accessories,Speaker,41.0,10842,444522,2025-05-08
Mumbai,Electronics,Smartphone,64.0,8682,555648,2025-07-18
Hyderabad,Accessories,Mouse,91.0,7511,683501,2025-04-20
Delhi,Office,Printer,16.0,2423,38768,2025-02-15
Kolkata,Office,Printer,104.0,11372,1182688,2025-06-22
Delhi,Electronics,Monitor,70.0,4957,346990,2025-05-28
Patna,Fashion,Shoes,66.0,3873,255618,2025-02-07
Jaipur,Fashion,Jeans,102.0,8294,845988,2025-01-12
Lucknow,Home Appliances,Fan,60.0,13367,802020,2025-09-05
Ahmedabad,Electronics,Laptop,40.0,6723,268920,2025-12-24
Delhi,Home Appliances,Fan,99.0,6908,683892,2025-10-03
Kolkata,Accessories,Headphones,58.0,7832,454256,2025-11-17
Mysuru,Fashion,Jeans,99.0,2314,229086,2025-07-17
Delhi,Electronics,Laptop,67.0,2707,181369,2025-05-06
Mumbai,Accessories,Keyboard,45.0,8701,391545,2025-05-28
Surat,Accessories,Keyboard,82.0,9224,756368,2025-05-05
Lucknow,Accessories,Headphones,65.0,10701,695565,2025-03-19
Kolkata,Fashion,Jeans,85.0,10431,886635,2025-12-20
Bengaluru,Home Appliances,Mixer,106.0,14352,1521312,2025-01-03
Lucknow,Home Appliances,Fan,84.0,3653,306852,2025-10-14
Surat,Electronics,Camera,114.0,10475,1194150,2025-09-10
Hyderabad,Accessories,Speaker,32.0,13384,428288,2025-11-13
Pune,Office,Printer,89.0,1181,105109,2025-03-15
Kolkata,Office,Backpack,27.0,5773,155871,2025-10-05
Jaipur,Accessories,Mouse,52.0,2342,121784,2025-06-17
Ahmedabad,Electronics,Tablet,31.0,7842,243102,2025-02-09
Kochi,Fashion,Jeans,13.0,1029,13377,2025-05-13
Kolkata,Home Appliances,Fan,32.0,14377,460064,2025-03-27
Jaipur,Home Appliances,Air Cooler,41.0,3310,135710,2025-03-16
Mumbai,Office,Backpack,113.0,5255,593815,2025-08-01
Bengaluru,Office,Backpack,31.0,3724,115444,2025-10-12
Ahmedabad,Electronics,Tablet,64.0,9989,639296,2025-11-22
Mysuru,Accessories,Headphones,109.0,1961,213749,2025-07-05
Pune,Accessories,Mouse,98.0,6806,666988,2025-06-02
Hyderabad,Electronics,Monitor,72.0,3389,244008,2025-06-18
Kochi,Electronics,Camera,65.0,7578,492570,2025-09-09
Pune,Home Appliances,Air Cooler,79.0,2146,169534,2025-03-04
Lucknow,Accessories,Mouse,72.0,6190,445680,2025-03-07
Delhi,Home Appliances,Fan,65.0,859,55835,2025-01-02
Mysuru,Accessories,Speaker,67.0,7687,515029,2025-03-20
Pune,Home Appliances,Mixer,42.0,10244,430248,2025-06-06
Jaipur,Home Appliances,Air Cooler,108.0,5102,551016,2025-10-11
Ahmedabad,Home Appliances,Air Cooler,63.0,11811,744093,2025-10-10
Lucknow,Electronics,Tablet,43.0,11239,483277,2025-02-14
Patna,Accessories,Headphones,77.0,7975,614075,2025-05-21
Ahmedabad,Home Appliances,Air Cooler,30.0,12019,360570,2025-01-19
Bengaluru,Fashion,Watch,19.0,13662,259578,2025-11-08
Kolkata,Home Appliances,Air Cooler,15.0,3325,49875,2025-01-15
Jaipur,Office,Printer,53.0,11513,610189,2025-04-14
Bengaluru,Home Appliances,Fan,112.0,14099,1579088,2025-12-24
Jaipur,Fashion,Jeans,72.0,5525,397800,2025-11-16
Jaipur,Office,Backpack,23.0,7731,177813,2025-09-11
Hyderabad,Accessories,Mouse,79.0,8132,642428,2025-04-08
Chennai,Home Appliances,Fan,29.0,5076,147204,2025-05-23
Bhopal,Office,Backpack,62.0,5914,366668,2025-09-26
Pune,Accessories,Mouse,16.0,9595,153520,2025-11-18
Bengaluru,Office,Backpack,99.0,13382,1324818,2025-03-10
Bhopal,Accessories,Headphones,45.0,7447,335115,2025-11-09
Mysuru,Office,Printer,26.0,13765,357890,2025-09-09
Bhopal,Home Appliances,Air Cooler,35.0,2449,85715,2025-02-20
Chennai,Home Appliances,Mixer,32.0,1031,32992,2025-11-17
Ahmedabad,Fashion,T-Shirt,13.0,6971,90623,2025-06-23
Surat,Electronics,Smartphone,1.0,9216,9216,2025-03-14
Hyderabad,Office,Backpack,84.0,3467,291228,2025-05-11
Bhopal,Electronics,Laptop,84.0,9606,806904,2025-04-18
Kochi,Electronics,Smartphone,54.0,14654,791316,2025-03-02
Bengaluru,Office,Backpack,24.0,12471,299304,2025-05-02
Surat,Accessories,Headphones,119.0,5689,676991,2025-05-15
Jaipur,Home Appliances,Air Cooler,64.0,14769,945216,2025-03-28
Delhi,Office,Backpack,25.0,13451,336275,2025-02-11
Kolkata,Office,Backpack,92.0,3250,299000,2025-01-24
Kochi,Accessories,Keyboard,23.0,10209,234807,2025-11-13
Delhi,Office,Backpack,12.0,6767,81204,2025-11-04
Pune,Fashion,Watch,42.0,4264,179088,2025-01-09
Lucknow,Fashion,Watch,97.0,4574,443678,2025-06-10
Chennai,Home Appliances,Mixer,34.0,10909,370906,2025-06-23
Surat,Electronics,Laptop,60.0,5226,313560,2025-03-13
Surat,Home Appliances,Air Cooler,99.0,5295,524205,2025-12-04
Ahmedabad,Accessories,Mouse,79.0,3818,301622,2025-04-05
Bhopal,Fashion,Watch,96.0,10124,971904,2025-06-14
Chennai,Home Appliances,Fan,97.0,9006,873582,2025-11-27
Kolkata,Fashion,T-Shirt,68.0,7519,511292,2025-09-23
Chennai,Electronics,Monitor,15.0,1211,18165,2025-09-17
Jaipur,Home Appliances,Air Cooler,20.0,2895,57900,2025-06-28
Ahmedabad,Office,Printer,88.0,3565,313720,2025-12-19
Delhi,Electronics,Monitor,58.0,13449,780042,2025-01-15
Ahmedabad,Home Appliances,Fan,59.0,9439,556901,2025-01-18
Chennai,Accessories,Headphones,51.0,4369,222819,2025-01-24
Mumbai,Home Appliances,Mixer,6.0,7141,42846,2025-06-23
