Order_ID,Date,City,Category,Product,Sales,Amount,Revenue
ORD000038,2026-04-20,Kanpur,Sports,Cricket Bat,13,5500.17,1019.81
ORD000039,2025-10-12,Chandigarh,Books,Notebook,23,3302843.93,1151913.48
ORD000040,2026-01-12,Indore,Books,Engineering Book,10,327333.6,31355.45
ORD000041,2026-04-16,Visakhapatnam,Electronics,Camera,2,15232.68,3179.56
ORD000042,2025-02-04,Varanasi,Clothing,T-Shirt,3,383148.75,37740.44
ORD000043,2025-11-14,Pune,Groceries,Cooking Oil,19,703145.92,169120.78
ORD000044,2026-01-02,Madurai,Furniture,Bed,11,1542337.17,208446.84
ORD000045,2025-08-23,Agra,Beauty,Perfume,13,256342.45,65184.09
ORD000046,2025-02-21,Mumbai,Beauty,Lipstick,15,1398176.55,324388.54
ORD000047,2026-03-28,Bhopal,Furniture,Wardrobe,17,677510.18,224919.85
ORD000048,2025-12-27,Mangalore,Furniture,Dining Table,10,237462.5,72452.45
ORD000049,2026-04-23,Madurai,Appliances,Air Conditioner,1,100212.69,23023.13
ORD000050,2025-03-21,Agra,Furniture,Dining Table,4,533871.72,149725.66
ORD000051,2026-03-13,Bhopal,Appliances,Microwave,23,1184448.48,314618.21
ORD000052,2025-02-17,Thiruvananthapuram,Appliances,Air Conditioner,9,1222289.46,377012.74
ORD000053,2025-05-15,Bengaluru,Sports,Badminton Racket,1,50100.13,5777.61
ORD000054,2025-02-27,Noida,Clothing,Shoes,18,1905831.9,441094.98
ORD000055,2025-10-10,Lucknow,Furniture,Bookshelf,18,99011.16,17791.15
ORD000056,2026-02-12,Jaipur,Clothing,Kurta,2,92615.86,29889.45
ORD000057,2026-02-04,Bhopal,Electronics,Tablet,22,825099.22,88907.97
ORD000058,2026-02-20,Lucknow,Sports,Yoga Mat,8,1037635.12,356506.14
ORD000059,2026-04-22,Delhi,Clothing,Kurta,6,663066.06,112515.73
ORD000060,2026-03-23,Nashik,Sports,Football,6,708764.64,77387.05
ORD000061,2025-06-29,Kochi,Electronics,Smart Watch,8,240127.76,78757.59
ORD000062,2025-05-23,Patna,Appliances,Washing Machine,1,99038.97,18578.31
ORD000063,2026-03-08,Mysuru,Furniture,Chair,21,1605658.11,423042.57
ORD000064,2025-05-16,Pune,Beauty,Lipstick,9,241805.88,82186.01
ORD000065,2025-11-07,Chandigarh,Electronics,Laptop,12,1311706.8,216028.76
ORD000066,2025-09-24,Indore,Furniture,Bed,9,60781.86,12018.73
ORD000067,2025-11-16,Chandigarh,Groceries,Milk,3,427008.87,140318.59
ORD000068,2025-07-26,Surat,Beauty,Lipstick,17,789850.09,150281.68
ORD000069,2025-12-13,Jaipur,Appliances,Air Conditioner,7,441874.37,147541.05
ORD000070,2025-05-27,Surat,Clothing,Saree,13,1069065.27,85642.4
ORD000071,2025-09-19,Visakhapatnam,Groceries,Cooking Oil,15,994855.8,261069.42
ORD000072,2025-06-21,Chennai,Books,Engineering Book,10,773662.6,194107.33
ORD000073,2025-01-24,Surat,Furniture,Dining Table,8,968030.24,115956.05
ORD000074,2025-04-10,Ahmedabad,Groceries,Cooking Oil,15,933370.65,233376.87
ORD000075,2026-04-03,Vijayawada,Sports,Gym Gloves,8,177767.52,47225.37
ORD000076,2025-08-26,Patna,Furniture,Bed,6,723816.42,193907.65
ORD000077,2025-12-08,Ludhiana,Electronics,Headphones,4,274094.52,81236.81
ORD000078,2026-04-05,Varanasi,Beauty,Shampoo,14,1744432.48,397600.52
ORD000079,2025-11-23,Kochi,Clothing,Shoes,15,584292.15,85747.64
ORD000080,2026-01-01,Thiruvananthapuram,Appliances,Air Conditioner,21,755221.95,150112.14
ORD000081,2025-03-12,Nashik,Appliances,Washing Machine,11,528269.06,119304.87
ORD000082,2025-08-01,Hubballi,Clothing,Jeans,23,529126.73,72896.35
ORD000083,2025-08-04,Tirupati,Sports,Badminton Racket,15,936368.4,127201.23
ORD000084,2026-04-28,Delhi,Sports,Yoga Mat,25,2159899.5,450953.6
ORD000085,2026-02-14,Hubballi,Beauty,Face Wash,14,1130909.64,314790.05
ORD000086,2025-06-22,Patna,Groceries,Cooking Oil,9,588886.29,51725.83
ORD000087,2026-04-10,Gurugram,Sports,Football,5,735551.1,164920.4
ORD000088,2025-08-25,Delhi,Sports,Yoga Mat,3,289344.51,33748.81
ORD000089,2025-06-22,Agra,Clothing,T-Shirt,13,639212.08,129612.28
ORD000090,2026-01-19,Guwahati,Sports,Badminton Racket,9,1127278.35,233327.28
ORD000091,2025-01-21,Patna,Electronics,Tablet,21,218103.69,73820.93
ORD000092,2025-08-31,Indore,Electronics,Smartphone,1,93238.21,13464.26
ORD000093,2025-03-27,Bhopal,Furniture,Wardrobe,15,1574247.0,451907.26
ORD000094,2025-10-22,Surat,Furniture,Dining Table,4,347379.36,114912.93
ORD000095,2025-05-05,Indore,Sports,Gym Gloves,3,266566.41,81103.99
ORD000096,2025-10-17,Surat,Furniture,Bookshelf,22,1982237.4,223368.16
ORD000097,2025-11-28,Tirupati,Electronics,Tablet,14,1389668.7,137046.79
ORD000098,2025-11-22,Guwahati,Beauty,Lipstick,16,254724.48,86456.71
ORD000099,2025-05-19,Chandigarh,Books,Engineering Book,6,660575.52,225043.49
ORD000100,2025-05-06,Chandigarh,Books,Exam Guide,24,2133886.8,356406.55
ORD000101,2025-12-09,Noida,Furniture,Chair,8,900771.12,210653.8
ORD000102,2025-04-19,Delhi,Sports,Badminton Racket,16,2042525.28,263683.4
ORD000103,2025-05-22,Coimbatore,Beauty,Face Wash,9,1188539.64,320097.04
ORD000104,2025-10-12,Indore,Electronics,Headphones,3,108837.81,20650.41
ORD000105,2025-01-09,Kochi,Groceries,Sugar,21,2242908.78,450840.65
ORD000106,2025-10-25,Patna,Furniture,Chair,13,1349385.57,219512.15
ORD000107,2025-10-09,Goa,Beauty,Shampoo,17,877696.91,306395.65
ORD000108,2026-01-05,Gurugram,Beauty,Face Wash,9,414565.11,58969.93
ORD000109,2025-04-05,Pune,Groceries,Milk,24,1930224.24,551641.09
ORD000110,2025-09-26,Kochi,Groceries,Wheat Flour,9,978437.61,336273.25
ORD000111,2025-01-08,Indore,Appliances,Refrigerator,10,341997.3,43929.29
ORD000112,2025-03-06,Bengaluru,Clothing,Jacket,2,166097.02,44564.28
ORD000113,2025-06-24,Mumbai,Books,Novel,19,811726.93,169856.16
ORD000114,2025-09-09,Agra,Clothing,T-Shirt,16,275226.56,26873.87
ORD000115,2025-06-05,Hyderabad,Furniture,Wardrobe,5,112323.6,26055.33
ORD000116,2026-02-09,Pune,Furniture,Dining Table,18,2064421.26,503111.36
ORD000117,2025-10-29,Hubballi,Groceries,Tea Powder,15,2044272.15,327666.87
ORD000118,2026-01-26,Hyderabad,Sports,Badminton Racket,20,2880406.2,307607.41
ORD000119,2025-03-30,Bhopal,Groceries,Sugar,9,891883.62,109171.38
ORD000120,2025-05-30,Mumbai,Furniture,Dining Table,14,946827.14,227550.04
ORD000121,2025-02-06,Vadodara,Electronics,Smartphone,23,977028.04,304924.41
ORD000122,2025-03-18,Indore,Groceries,Milk,14,242269.58,34086.98
ORD000123,2026-01-19,Ahmedabad,Appliances,Washing Machine,2,49943.66,8143.57
ORD000124,2026-04-28,Pune,Appliances,Mixer Grinder,15,1549992.45,416836.52
ORD000125,2026-04-01,Tirupati,Appliances,Air Conditioner,16,1051520.8,253910.62
ORD000126,2026-03-05,Agra,Sports,Badminton Racket,1,13789.9,4684.65
ORD000127,2025-08-29,Nashik,Electronics,Smart Watch,19,116483.87,33103.85
ORD000128,2025-02-16,Nagpur,Books,Notebook,19,1243344.04,372811.9
ORD000129,2025-03-24,Guwahati,Books,Notebook,11,530492.93,57421.6
ORD000130,2026-01-25,Thiruvananthapuram,Beauty,Shampoo,10,994212.7,187033.39
ORD000131,2026-01-31,Chennai,Electronics,Smart TV,11,417280.49,46442.83
ORD000132,2025-01-28,Mumbai,Sports,Yoga Mat,22,2869200.18,587421.72
ORD000133,2026-01-25,Mangalore,Groceries,Tea Powder,20,2269816.6,564867.38
ORD000134,2026-03-27,Nashik,Electronics,Smartphone,18,355299.84,56054.9
ORD000135,2025-03-23,Delhi,Books,Novel,21,1918767.06,277473.51
ORD000136,2026-03-07,Mumbai,Appliances,Air Conditioner,18,1102640.4,155107.52
ORD000137,2026-01-02,Pune,Furniture,Bed,21,2621603.46,562494.87
ORD000138,2025-05-05,Nashik,Appliances,Air Conditioner,14,1753151.68,604251.87
ORD000139,2026-01-18,Lucknow,Books,Dictionary,13,372742.37,90141.01
ORD000140,2026-04-24,Nashik,Clothing,T-Shirt,25,2963048.25,569007.35
ORD000141,2025-12-04,Vadodara,Appliances,Refrigerator,24,1076484.48,256712.68
ORD000142,2026-01-26,Noida,Books,Engineering Book,18,1308649.86,222154.81
ORD000143,2025-07-16,Visakhapatnam,Sports,Gym Gloves,7,1029826.84,148786.8
ORD000144,2026-02-20,Bengaluru,Groceries,Cooking Oil,11,1229044.3,332347.75
ORD000145,2025-10-30,Lucknow,Sports,Gym Gloves,16,2315634.88,264182.66
ORD000146,2026-01-05,Noida,Beauty,Lipstick,4,315760.28,64216.35
ORD000147,2025-06-23,Lucknow,Clothing,Kurta,3,211429.92,72242.43
ORD000148,2025-06-12,Coimbatore,Sports,Cricket Bat,22,2836138.58,517886.1
ORD000149,2026-04-17,Bengaluru,Books,Dictionary,20,207125.4,51866.99
ORD000150,2025-12-27,Chennai,Appliances,Washing Machine,14,2054539.62,586159.78
ORD000151,2025-06-16,Kanpur,Furniture,Bed,23,1034769.31,90869.05
ORD000152,2025-07-30,Mysuru,Electronics,Tablet,12,775919.4,113232.48
ORD000153,2025-12-16,Nagpur,Clothing,Jeans,3,274388.46,50291.83
ORD000154,2025-05-11,Lucknow,Groceries,Cooking Oil,8,553810.96,82281.84
ORD000155,2025-08-15,Gurugram,Electronics,Smart Watch,10,1016738.7,124706.48
ORD000156,2025-08-22,Surat,Beauty,Moisturizer,21,3030471.36,807271.05
ORD000157,2025-07-03,Hubballi,Appliances,Washing Machine,16,257397.12,47095.53
ORD000158,2026-03-19,Delhi,Appliances,Microwave,22,1307488.16,107457.81
ORD000159,2026-02-15,Thiruvananthapuram,Electronics,Headphones,10,1163835.7,165418.26
ORD000160,2026-01-28,Indore,Beauty,Perfume,20,753379.2,213964.12
ORD000161,2025-08-14,Kolkata,Clothing,Shoes,21,2036715.66,332823.53
ORD000162,2025-06-17,Mangalore,Electronics,Headphones,24,475167.12,154714.18
ORD000163,2025-07-07,Indore,Sports,Football,5,589991.35,186817.43
ORD000164,2026-03-22,Agra,Appliances,Washing Machine,16,2321773.92,370759.88
ORD000165,2026-03-17,Gurugram,Beauty,Lipstick,3,63598.44,21684.21
ORD000166,2025-10-02,Mangalore,Sports,Yoga Mat,3,355869.69,29806.95
ORD000167,2025-07-15,Mangalore,Furniture,Bed,22,2472290.48,372780.81
ORD000168,2025-10-15,Patna,Beauty,Lipstick,16,61619.04,19640.66
ORD000169,2026-04-11,Patna,Beauty,Moisturizer,21,201100.83,60821.13
ORD000170,2025-09-10,Pune,Appliances,Mixer Grinder,5,34487.45,3105.5
ORD000171,2025-12-10,Ludhiana,Furniture,Sofa,18,367848.72,74483.41
ORD000172,2025-11-12,Lucknow,Sports,Yoga Mat,14,1375819.06,419758.45
ORD000173,2026-05-02,Bengaluru,Sports,Badminton Racket,23,1279776.12,255588.48
ORD000174,2025-11-27,Kolkata,Groceries,Milk,22,1213597.22,392547.7
ORD000175,2026-03-11,Vijayawada,Beauty,Lipstick,9,256970.7,29033.35
ORD000176,2025-01-26,Bhopal,Books,Novel,21,2015159.79,689578.0
ORD000177,2025-10-11,Jaipur,Beauty,Perfume,19,586346.08,178279.0
ORD000178,2026-04-07,Bhopal,Groceries,Tea Powder,8,394808.64,47313.72
ORD000179,2025-02-26,Lucknow,Electronics,Tablet,5,405391.5,119833.21
ORD000180,2025-06-15,Mumbai,Electronics,Smartphone,12,1422224.4,205143.83
ORD000181,2025-02-28,Agra,Electronics,Smartphone,2,38202.22,7398.22
ORD000182,2025-08-20,Noida,Furniture,Bed,25,1359241.0,326611.78
ORD000183,2025-09-24,Bengaluru,Groceries,Tea Powder,24,2820137.52,885762.46
ORD000184,2025-08-07,Delhi,Appliances,Mixer Grinder,2,299576.3,92500.36
ORD000185,2025-03-17,Noida,Furniture,Bed,3,404700.27,67572.88
ORD000186,2025-06-16,Nashik,Furniture,Dining Table,20,1899964.0,433298.64
ORD000187,2025-02-20,Madurai,Sports,Yoga Mat,10,681119.4,165828.89
ORD000188,2026-03-31,Goa,Furniture,Bookshelf,24,3116095.2,611125.11
ORD000189,2025-06-10,Coimbatore,Groceries,Cooking Oil,15,898044.75,248754.24
ORD000190,2025-08-31,Agra,Sports,Badminton Racket,12,1716522.24,455636.55
ORD000191,2025-07-10,Chennai,Furniture,Sofa,3,194514.87,54666.27
ORD000192,2025-12-10,Hyderabad,Clothing,Saree,19,2726462.57,631597.36
ORD000193,2026-04-14,Mysuru,Furniture,Bed,22,3105858.14,603135.76
ORD000194,2025-03-21,Surat,Electronics,Tablet,12,187556.64,40700.05
ORD000195,2026-01-26,Kolkata,Books,Engineering Book,12,1521857.76,272780.04
ORD000196,2026-02-24,Patna,Appliances,Air Conditioner,14,1775042.64,609066.09
ORD000197,2025-06-08,Nashik,Electronics,Headphones,1,27144.37,7321.61
ORD000198,2025-07-25,Mumbai,Beauty,Face Wash,6,782954.52,182355.35
ORD000199,2025-08-03,Delhi,Furniture,Dining Table,3,335826.45,46372.89
ORD000200,2026-04-28,Kanpur,Books,Notebook,12,561773.28,94143.87
ORD000201,2025-02-11,Lucknow,Furniture,Sofa,6,679139.64,63456.01
ORD000202,2025-04-21,Chandigarh,Appliances,Mixer Grinder,16,1457611.04,279612.96
ORD000203,2025-09-07,Chandigarh,Furniture,Chair,4,170234.6,44804.26
ORD000204,2025-04-15,Patna,Appliances,Refrigerator,13,1919689.2,181969.51
ORD000205,2025-01-04,Jaipur,Appliances,Washing Machine,25,960059.25,161859.3
ORD000206,2025-09-14,Nagpur,Books,Exam Guide,5,285465.5,77073.18
ORD000207,2026-04-17,Vijayawada,Beauty,Lipstick,24,154586.64,13149.17
ORD000208,2025-05-29,Chandigarh,Furniture,Chair,19,1153736.81,291708.8
ORD000209,2025-08-24,Delhi,Furniture,Bed,11,284501.69,95551.56
ORD000210,2025-09-26,Chandigarh,Beauty,Lipstick,4,146292.56,34963.23
ORD000211,2025-03-28,Surat,Furniture,Bed,24,1223832.96,207964.13
ORD000212,2025-06-28,Pune,Furniture,Wardrobe,17,1301210.77,422371.89
ORD000213,2025-11-05,Ludhiana,Beauty,Perfume,4,88207.96,11754.89
ORD000214,2025-08-26,Ahmedabad,Clothing,Shoes,6,856192.14,213659.47
ORD000215,2025-08-29,Visakhapatnam,Books,Dictionary,21,997273.62,198194.13
ORD000216,2025-06-08,Nashik,Books,Notebook,19,161883.8,35125.7
ORD000217,2025-11-27,Bengaluru,Books,Exam Guide,2,110747.54,17443.93
ORD000218,2026-02-10,Varanasi,Furniture,Wardrobe,13,902986.24,207384.71
ORD000219,2026-05-06,Indore,Electronics,Smart TV,11,998694.07,215087.91
ORD000220,2025-11-27,Kolkata,Electronics,Smart TV,11,1620955.6,166583.77
ORD000221,2025-09-25,Ludhiana,Clothing,T-Shirt,23,1511559.31,300262.01
ORD000222,2025-12-14,Mangalore,Clothing,Jacket,10,581737.4,168183.48
ORD000223,2025-07-17,Coimbatore,Electronics,Smart Watch,3,148561.92,34265.82
ORD000224,2026-04-15,Lucknow,Appliances,Microwave,11,135488.65,35115.31
ORD000225,2025-06-08,Vijayawada,Beauty,Face Wash,5,446483.4,148795.32
ORD000226,2025-12-17,Jaipur,Sports,Badminton Racket,22,2319995.7,778867.4
ORD000227,2025-04-03,Chandigarh,Furniture,Bookshelf,17,923746.51,164335.77
ORD000228,2025-02-09,Thiruvananthapuram,Groceries,Milk,7,238411.6,27928.17
ORD000229,2025-09-27,Varanasi,Appliances,Refrigerator,25,2025291.0,565934.92
ORD000230,2025-03-20,Coimbatore,Electronics,Camera,25,2318573.0,559370.9
ORD000231,2025-12-13,Kanpur,Clothing,Jeans,24,1576973.76,301094.48
ORD000232,2025-10-01,Vadodara,Groceries,Cooking Oil,25,2807640.5,564926.89
ORD000233,2025-08-14,Kochi,Groceries,Milk,7,386675.52,129816.7
ORD000234,2026-02-23,Hubballi,Books,Notebook,17,1345825.74,458781.77
ORD000235,2025-07-10,Jaipur,Groceries,Tea Powder,9,71295.75,14954.96
ORD000236,2025-05-20,Madurai,Furniture,Bookshelf,4,171323.8,49005.72
ORD000237,2026-02-23,Lucknow,Books,Dictionary,14,193870.04,63169.9
ORD000238,2025-05-01,Delhi,Books,Notebook,14,113164.94,24391.79
ORD000239,2026-03-06,Mangalore,Sports,Cricket Bat,8,34602.48,11464.6
ORD000240,2025-12-23,Jaipur,Beauty,Perfume,2,86206.44,26209.83
ORD000241,2025-01-10,Kochi,Clothing,Shoes,15,1385110.5,449581.27
ORD000242,2025-08-05,Lucknow,Appliances,Washing Machine,18,2538717.66,620456.57
ORD000243,2025-11-24,Ludhiana,Furniture,Chair,10,183650.7,26515.24
ORD000244,2025-09-21,Pune,Books,Novel,16,1432818.88,120983.71
ORD000245,2025-05-04,Lucknow,Groceries,Sugar,10,644429.1,158528.65
ORD000246,2025-09-27,Chennai,Sports,Football,17,2485412.07,244249.94
ORD000247,2025-05-10,Kochi,Electronics,Smart TV,2,190774.1,65794.29
ORD000248,2025-02-23,Ahmedabad,Electronics,Tablet,12,434937.36,111960.79
ORD000249,2025-03-31,Bengaluru,Beauty,Perfume,12,983369.52,294664.11
ORD000250,2025-08-23,Nagpur,Books,Exam Guide,5,47793.85,13839.73
ORD000251,2025-06-11,Indore,Electronics,Tablet,2,237374.54,75761.27
ORD000252,2025-11-28,Vijayawada,Appliances,Air Conditioner,18,1279127.34,114977.7
ORD000253,2025-05-20,Mysuru,Groceries,Milk,25,181645.5,46691.52
ORD000254,2025-07-17,Chandigarh,Furniture,Chair,13,1449783.79,466181.06
ORD000255,2025-09-23,Thiruvananthapuram,Beauty,Perfume,23,1717611.48,566062.61
ORD000256,2025-04-03,Chandigarh,Appliances,Refrigerator,3,193944.03,67623.73
ORD000257,2025-08-17,Kolkata,Appliances,Microwave,3,147765.57,23616.31
ORD000258,2026-04-12,Noida,Sports,Football,12,805496.88,222510.37
ORD000259,2025-01-30,Chandigarh,Beauty,Moisturizer,9,863608.05,253640.83
ORD000260,2025-03-23,Vijayawada,Furniture,Bookshelf,12,924139.08,261043.84
ORD000261,2025-11-27,Noida,Electronics,Smartphone,2,38043.76,5467.6
ORD000262,2025-08-19,Hubballi,Beauty,Face Wash,19,94136.64,11430.85
ORD000263,2025-07-07,Noida,Beauty,Face Wash,25,290628.25,34055.14
ORD000264,2025-04-06,Nashik,Sports,Badminton Racket,8,1152655.68,100277.13
ORD000265,2025-12-27,Hubballi,Books,Dictionary,18,319542.66,92424.65
ORD000266,2025-03-04,Vadodara,Books,Engineering Book,23,3162044.37,672326.69
ORD000267,2025-02-14,Noida,Clothing,T-Shirt,6,808871.94,161920.0
ORD000268,2026-03-12,Ahmedabad,Beauty,Face Wash,18,1464686.82,469665.82
ORD000269,2025-04-13,Nagpur,Clothing,Shoes,12,916349.88,103334.82
ORD000270,2025-08-28,Thiruvananthapuram,Clothing,Jeans,1,54198.39,12710.33
ORD000271,2026-01-04,Chennai,Clothing,Saree,3,139388.04,48770.57
ORD000272,2025-03-06,Guwahati,Books,Dictionary,25,1536852.25,361503.21
ORD000273,2026-03-26,Noida,Beauty,Lipstick,15,1530725.1,264844.51
ORD000274,2025-03-05,Chandigarh,Clothing,Jeans,17,2322468.09,220544.98
ORD000275,2025-06-27,Kanpur,Clothing,Jacket,6,290801.1,78958.22
ORD000276,2025-03-06,Agra,Appliances,Refrigerator,7,667065.42,152575.99
ORD000277,2026-04-28,Tirupati,Appliances,Air Conditioner,3,226307.13,28408.72
ORD000278,2025-02-11,Coimbatore,Clothing,Jeans,19,119225.57,37343.94
ORD000279,2025-11-13,Agra,Electronics,Camera,21,665703.78,156092.25
ORD000280,2025-05-06,Tirupati,Electronics,Smart TV,10,963219.0,155622.87
ORD000281,2025-08-01,Gurugram,Sports,Badminton Racket,3,309969.51,38027.59
ORD000282,2026-01-03,Bhopal,Books,Exam Guide,11,1001422.07,164631.06
ORD000283,2025-02-24,Vijayawada,Beauty,Face Wash,5,570618.4,124990.9
ORD000284,2025-02-19,Gurugram,Beauty,Perfume,4,160776.0,23624.12
ORD000285,2026-04-07,Hubballi,Electronics,Tablet,20,1255568.0,426799.18
ORD000286,2025-09-21,Visakhapatnam,Clothing,Jacket,7,801443.23,171934.98
ORD000287,2025-09-16,Surat,Books,Exam Guide,16,57186.08,19169.51
ORD000288,2025-09-11,Bhopal,Books,Engineering Book,19,1006980.43,94299.6
ORD000289,2026-03-28,Tirupati,Books,Notebook,1,127091.14,24954.41
ORD000290,2025-10-15,Vijayawada,Appliances,Microwave,12,82581.96,7747.23
ORD000291,2026-01-27,Goa,Groceries,Milk,10,111224.1,24040.98
ORD000292,2026-02-11,Pune,Appliances,Air Conditioner,5,731324.55,136285.26
ORD000293,2025-07-25,Mangalore,Beauty,Moisturizer,25,543142.0,131801.55
ORD000294,2025-09-23,Bengaluru,Electronics,Laptop,5,535337.1,159033.01
ORD000295,2025-03-25,Varanasi,Books,Engineering Book,5,246310.4,60476.2
ORD000296,2025-09-30,Surat,Sports,Yoga Mat,19,959925.22,291469.9
ORD000297,2025-12-11,Surat,Books,Dictionary,16,1958092.0,351392.55
ORD000298,2025-11-02,Surat,Furniture,Bed,24,3139863.84,784653.01
ORD000299,2025-09-26,Patna,Books,Notebook,24,187155.36,39250.44
ORD000300,2025-04-08,Ludhiana,Sports,Football,2,171856.56,46253.59
ORD000301,2025-07-30,Visakhapatnam,Electronics,Smart TV,14,319193.7,85044.4
ORD000302,2025-12-06,Jaipur,Books,Novel,17,530068.84,88926.14
ORD000303,2025-09-30,Hubballi,Books,Dictionary,11,1578578.76,322202.37
ORD000304,2025-11-26,Mysuru,Beauty,Moisturizer,22,2548067.94,699825.92
ORD000305,2025-06-02,Kochi,Appliances,Air Conditioner,7,1005234.16,156144.76
ORD000306,2025-06-12,Vadodara,Groceries,Milk,23,716931.62,193820.19
ORD000307,2025-12-13,Goa,Books,Notebook,24,986190.72,111346.86
ORD000308,2025-05-28,Mysuru,Sports,Gym Gloves,25,3017797.75,478086.21
ORD000309,2025-04-14,Noida,Furniture,Chair,21,809359.95,169440.64
ORD000310,2025-05-03,Nashik,Appliances,Air Conditioner,5,82365.3,23065.63
ORD000311,2025-07-31,Madurai,Groceries,Rice,8,765823.12,72119.55
ORD000312,2025-10-09,Kolkata,Beauty,Shampoo,22,2544032.26,207081.66
ORD000313,2025-05-28,Kochi,Clothing,Kurta,16,1561852.0,443715.88
ORD000314,2025-10-01,Hyderabad,Beauty,Face Wash,25,337754.0,79377.6
ORD000315,2026-03-05,Guwahati,Electronics,Smartphone,6,840570.0,75493.07
ORD000316,2026-03-25,Nagpur,Sports,Gym Gloves,24,3463763.76,1143148.44
ORD000317,2025-06-21,Surat,Electronics,Laptop,19,1718686.23,568339.99
ORD000318,2026-03-12,Tirupati,Appliances,Mixer Grinder,17,1260336.99,420210.64
ORD000319,2025-11-28,Indore,Books,Notebook,4,198678.2,55113.77
ORD000320,2025-12-12,Mumbai,Appliances,Washing Machine,24,1215194.88,194013.82
ORD000321,2025-12-09,Vijayawada,Groceries,Wheat Flour,14,1082767.98,111979.0
ORD000322,2025-05-14,Jaipur,Furniture,Dining Table,16,777726.24,114304.54
ORD000323,2025-10-26,Noida,Sports,Football,25,1003061.25,169516.18
ORD000324,2025-08-27,Mangalore,Electronics,Tablet,23,817000.48,212667.06
ORD000325,2025-12-27,Vijayawada,Appliances,Washing Machine,22,1659412.04,533802.92
ORD000326,2025-03-10,Vadodara,Appliances,Refrigerator,12,1106788.2,154025.87
ORD000327,2025-12-26,Gurugram,Books,Engineering Book,24,3559843.44,643899.88
ORD000328,2026-03-24,Bhopal,Books,Dictionary,25,929876.75,263880.13
ORD000329,2025-10-16,Noida,Furniture,Wardrobe,17,1795107.18,181463.32
ORD000330,2025-03-26,Goa,Furniture,Sofa,17,516856.1,116240.03
ORD000331,2025-09-08,Noida,Beauty,Moisturizer,4,408305.04,111699.13
ORD000332,2025-08-22,Noida,Furniture,Wardrobe,2,136139.0,29756.84
ORD000333,2025-07-22,Gurugram,Electronics,Headphones,22,2663245.42,733153.17
