City,Product,Quantity_Sold,Unit_Price,Total_Sales,Sale_Date
Chennai,Camera,113.0,1442,162946,2025-02-23
Surat,Laptop,118.0,9334,1101412,2025-01-28
Kolkata,Smartphone,264.0,31695,8367480,2025-05-22
Ahmedabad,Shoes,277.0,17842,4942234,2025-12-19
Lucknow,Mouse,125.0,62493,7811625,2025-07-07
Mumbai,Smartphone,338.0,56998,19265324,2025-06-14
Pune,Mouse,443.0,96061,42555023,2025-01-22
Surat,Speaker,51.0,8444,430644,2025-07-24
Kolkata,Jeans,442.0,14822,6551324,2025-04-07
Chennai,Tablet,230.0,18873,4340790,2025-07-06
Hyderabad,Mouse,128.0,10380,1328640,2025-08-26
Kochi,Printer,282.0,13333,3759906,2025-01-21
Jaipur,Printer,8.0,12724,101792,2025-04-06
Pune,Mouse,247.0,28516,7043452,2025-07-02
Delhi,Keyboard,2.0,51673,103346,2025-05-26
Patna,Mouse,147.0,55944,8223768,2025-12-24
Patna,Tablet,339.0,94663,32090757,2025-08-05
Chennai,Watch,112.0,8165,914480,2025-10-24
Jaipur,Laptop,383.0,41604,15934332,2025-01-02
Lucknow,Mouse,258.0,70115,18089670,2025-03-02
Jaipur,Smartphone,436.0,24856,10837216,2025-02-20
Mumbai,Speaker,442.0,31328,13846976,2025-07-04
Mysuru,Camera,127.0,76380,9700260,2025-10-02
Lucknow,Smartphone,215.0,86663,18632545,2025-10-19
Jaipur,Backpack,479.0,34679,16611241,2025-04-22
Bhopal,Backpack,123.0,35314,4343622,2025-07-05
Surat,Speaker,154.0,60429,9306066,2025-06-25
Mysuru,Smartphone,5.0,60568,302840,2025-10-19
Mumbai,Smartphone,276.0,28438,7848888,2025-09-09
Delhi,Monitor,179.0,9516,1703364,2025-04-12
Hyderabad,Headphones,225.0,71700,16132500,2025-12-10
Lucknow,Jeans,335.0,69829,23392715,2025-01-22
Kochi,Tablet,154.0,87451,13467454,2025-02-05
Hyderabad,Smartphone,456.0,14529,6625224,2025-12-18
Delhi,Watch,145.0,79776,11567520,2025-04-23
Kolkata,Shoes,352.0,83630,29437760,2025-05-17
Ahmedabad,Watch,464.0,7158,3321312,2025-02-21
Pune,Printer,142.0,6278,891476,2025-01-11
Patna,Headphones,327.0,34835,11391045,2025-03-24
Ahmedabad,Tablet,362.0,56557,20473634,2025-09-01
Mumbai,Smartphone,484.0,91073,44079332,2025-03-18
Bengaluru,Printer,190.0,76850,14601500,2025-09-05
Pune,Headphones,22.0,40904,899888,2025-06-26
Kochi,Laptop,461.0,47398,21850478,2025-04-22
Chennai,Speaker,53.0,46857,2483421,2025-09-28
Pune,Camera,384.0,20757,7970688,2025-04-28
Delhi,Jeans,416.0,23706,9861696,2025-07-01
Delhi,T-Shirt,474.0,44040,20874960,2025-07-26
Surat,Printer,377.0,33027,12451179,2025-05-06
Patna,T-Shirt,56.0,50640,2835840,2025-01-28
Ahmedabad,Shoes,103.0,60832,6265696,2025-06-10
Kochi,Jeans,447.0,30331,13557957,2025-04-01
Surat,Shoes,205.0,43525,8922625,2025-05-28
Mumbai,Jeans,143.0,46525,6653075,2025-11-17
Pune,Speaker,432.0,70782,30577824,2025-06-01
Mumbai,Monitor,497.0,34737,17264289,2025-03-19
Hyderabad,Laptop,56.0,78693,4406808,2025-07-12
Bhopal,Jeans,161.0,57699,9289539,2025-10-17
Mumbai,Keyboard,461.0,76074,35070114,2025-04-09
Bengaluru,T-Shirt,224.0,721,161504,2025-09-26
Jaipur,Speaker,369.0,97748,36069012,2025-12-22
Chennai,Backpack,221.0,9671,2137291,2025-11-11
Lucknow,Backpack,340.0,16834,5723560,2025-12-10
Jaipur,Watch,342.0,54028,18477576,2025-06-13
Bhopal,Watch,284.0,17183,4879972,2025-04-14
Surat,Keyboard,347.0,98559,34199973,2025-03-20
Lucknow,Watch,208.0,72319,15042352,2025-01-10
Hyderabad,Shoes,221.0,76519,16910699,2025-10-21
Kolkata,Mouse,227.0,58454,13269058,2025-11-07
Jaipur,Mouse,407.0,96963,39463941,2025-03-22
Mumbai,Watch,264.0,87512,23103168,2025-11-20
Kolkata,Smartphone,420.0,98953,41560260,2025-04-22
Hyderabad,Shoes,413.0,26600,10985800,2025-03-01
Bengaluru,Shoes,244.0,80620,19671280,2025-02-15
Pune,Monitor,323.0,75954,24533142,2025-04-23
Bhopal,Keyboard,254.0,52883,13432282,2025-04-05
Surat,T-Shirt,3.0,98930,296790,2025-02-25
Pune,Shoes,91.0,91714,8345974,2025-09-15
Bengaluru,Tablet,128.0,16406,2099968,2025-08-05
Patna,Mouse,342.0,70116,23979672,2025-09-20
Kolkata,Jeans,457.0,58508,26738156,2025-10-27
Bhopal,Monitor,259.0,56433,14616147,2025-09-15
Mysuru,Headphones,381.0,62716,23894796,2025-08-09
Patna,Shoes,431.0,84079,36238049,2025-05-25
Patna,Tablet,249.0,82649,20579601,2025-04-09
Ahmedabad,Smartphone,366.0,37950,13889700,2025-04-09
Kolkata,Backpack,458.0,71298,32654484,2025-02-05
Delhi,Shoes,197.0,91457,18017029,2025-03-23
Chennai,Smartphone,213.0,53924,11485812,2025-06-18
Ahmedabad,Keyboard,32.0,27610,883520,2025-07-13
Mysuru,Jeans,300.0,91663,27498900,2025-01-28
Mysuru,Jeans,295.0,50357,14855315,2025-08-01
Kolkata,Watch,386.0,51616,19923776,2025-07-18
Bhopal,T-Shirt,280.0,79569,22279320,2025-04-16
Chennai,Watch,224.0,64154,14370496,2025-01-13
Kolkata,Speaker,348.0,53494,18615912,2025-12-06
Kochi,Mouse,471.0,17228,8114388,2025-10-18
Bengaluru,Monitor,202.0,78080,15772160,2025-10-22
Bengaluru,Smartphone,330.0,56679,18704070,2025-03-28
Ahmedabad,Headphones,26.0,34599,899574,2025-07-11
Chennai,Mouse,168.0,44736,7515648,2025-07-09
Patna,Printer,216.0,33565,7250040,2025-02-16
Bengaluru,T-Shirt,277.0,7326,2029302,2025-06-08
Surat,Smartphone,400.0,85926,34370400,2025-01-25
Bengaluru,Shoes,103.0,3171,326613,2025-10-05
Chennai,Headphones,243.0,88247,21444021,2025-02-19
Chennai,Mouse,359.0,34086,12236874,2025-06-06
Lucknow,Camera,494.0,98532,48674808,2025-12-04
Patna,Printer,84.0,41268,3466512,2025-02-19
Bengaluru,Monitor,160.0,75970,12155200,2025-11-13
Pune,T-Shirt,102.0,10461,1067022,2025-10-23
Kochi,Speaker,125.0,13856,1732000,2025-12-25
Hyderabad,Printer,351.0,79197,27798147,2025-02-26
Lucknow,Jeans,22.0,46008,1012176,2025-09-14
Surat,Backpack,36.0,66817,2405412,2025-11-11
Bengaluru,Printer,216.0,64751,13986216,2025-02-14
Kolkata,Speaker,457.0,60758,27766406,2025-12-05
Pune,Headphones,376.0,68886,25901136,2025-11-09
Lucknow,Jeans,471.0,71039,33459369,2025-08-15
Pune,Printer,375.0,78156,29308500,2025-05-11
Kochi,Shoes,426.0,11859,5051934,2025-05-15
Chennai,Jeans,238.0,75191,17895458,2025-10-22
Pune,Backpack,15.0,65289,979335,2025-06-06
Ahmedabad,Shoes,182.0,34362,6253884,2025-06-09
Mysuru,Camera,360.0,36711,13215960,2025-09-01
Jaipur,Shoes,44.0,32135,1413940,2025-12-14
Ahmedabad,Tablet,389.0,31999,12447611,2025-12-16
Surat,T-Shirt,252.0,59243,14929236,2025-01-03
Hyderabad,Shoes,208.0,91173,18963984,2025-04-10
Surat,Camera,189.0,62531,11818359,2025-09-17
Kolkata,Keyboard,382.0,72640,27748480,2025-06-12
Bhopal,Mouse,139.0,40689,5655771,2025-05-08
Mumbai,T-Shirt,99.0,41859,4144041,2025-02-24
Jaipur,Jeans,354.0,24767,8767518,2025-04-07
Bhopal,Mouse,142.0,95472,13557024,2025-10-25
Jaipur,Camera,145.0,13676,1983020,2025-04-10
Chennai,Backpack,92.0,40118,3690856,2025-01-23
Jaipur,Headphones,141.0,6465,911565,2025-01-18
Hyderabad,T-Shirt,484.0,17051,8252684,2025-11-28
Patna,Mouse,53.0,2107,111671,2025-10-10
Ahmedabad,Mouse,226.0,45157,10205482,2025-03-02
Hyderabad,Printer,245.0,15453,3785985,2025-02-13
Ahmedabad,Smartphone,296.0,83002,24568592,2025-11-02
Delhi,Headphones,416.0,74272,30897152,2025-05-03
Chennai,Smartphone,286.0,55048,15743728,2025-10-20
Patna,Camera,116.0,68994,8003304,2025-07-15
Mysuru,Mouse,153.0,77639,11878767,2025-07-10
Lucknow,Camera,31.0,80405,2492555,2025-12-04
Patna,Shoes,321.0,28159,9039039,2025-05-22
Mumbai,Headphones,123.0,23282,2863686,2025-09-03
Delhi,Laptop,210.0,59548,12505080,2025-12-20
Ahmedabad,Watch,17.0,30840,524280,2025-05-23
Hyderabad,T-Shirt,441.0,60010,26464410,2025-02-22
Chennai,Monitor,136.0,82427,11210072,2025-10-22
Patna,Monitor,102.0,56223,5734746,2025-02-18
Chennai,Speaker,77.0,35316,2719332,2025-03-03
Bengaluru,Headphones,406.0,40819,16572514,2025-10-24
Kochi,Camera,472.0,38328,18090816,2025-08-04
Ahmedabad,T-Shirt,156.0,92215,14385540,2025-07-09
Jaipur,Tablet,253.0,57877,14642881,2025-02-20
Bengaluru,Monitor,222.0,96776,21484272,2025-06-20
Hyderabad,Laptop,47.0,30505,1433735,2025-11-27
Kochi,Camera,301.0,3219,968919,2025-11-27
Hyderabad,Camera,21.0,99625,2092125,2025-03-16
Jaipur,Speaker,227.0,36958,8389466,2025-03-19
Pune,Speaker,417.0,64951,27084567,2025-02-16
Kolkata,Keyboard,171.0,42581,7281351,2025-11-04
Kochi,Headphones,169.0,54455,9202895,2025-12-16
Hyderabad,Speaker,484.0,52988,25646192,2025-09-02
Ahmedabad,Smartphone,162.0,33582,5440284,2025-06-04
Patna,Keyboard,443.0,67949,30101407,2025-01-22
Kochi,Tablet,237.0,54665,12955605,2025-01-07
Jaipur,Backpack,319.0,99648,31787712,2025-08-21
Ahmedabad,Jeans,27.0,27180,733860,2025-05-18
Delhi,Monitor,148.0,57924,8572752,2025-12-16
Mumbai,Laptop,499.0,83078,41455922,2025-10-26
Chennai,T-Shirt,82.0,41230,3380860,2025-09-01
Jaipur,Keyboard,48.0,29951,1437648,2025-02-15
Mumbai,Speaker,427.0,20681,8830787,2025-08-23
Hyderabad,Tablet,362.0,36338,13154356,2025-07-27
Ahmedabad,Mouse,125.0,60371,7546375,2025-09-05
Pune,Shoes,472.0,79061,37316792,2025-09-24
Mysuru,Headphones,443.0,9650,4274950,2025-05-25
Patna,Printer,213.0,45048,9595224,2025-09-09
Kochi,Laptop,145.0,95664,13871280,2025-05-27
Lucknow,Camera,338.0,64678,21861164,2025-03-15
Jaipur,Mouse,177.0,44073,7800921,2025-09-25
Jaipur,Keyboard,234.0,42676,9986184,2025-04-23
Chennai,Camera,197.0,31113,6129261,2025-07-02
Kolkata,T-Shirt,243.0,92935,22583205,2025-07-13
Surat,Jeans,421.0,85961,36189581,2025-03-16
Bengaluru,Headphones,258.0,77856,20086848,2025-06-28
Mumbai,Printer,433.0,58211,25205363,2025-02-17
Mysuru,Mouse,8.0,95192,761536,2025-03-14
Kochi,Speaker,497.0,20732,10303804,2025-02-16
Patna,Watch,174.0,82191,14301234,2025-12-13
Surat,Smartphone,437.0,43565,19037905,2025-11-28
Jaipur,Keyboard,489.0,42005,20540445,2025-11-23
Mysuru,Jeans,250.0,71412,17853000,2025-01-20
Mumbai,Shoes,324.0,90205,29226420,2025-05-08
Bhopal,Smartphone,223.0,13403,2988869,2025-11-23
Kochi,Smartphone,228.0,22305,5085540,2025-12-10
Mysuru,Laptop,24.0,43016,1032384,2025-01-10
Kolkata,Backpack,221.0,19580,4327180,2025-04-17
Pune,Camera,350.0,24100,8435000,2025-03-06
Mumbai,Camera,446.0,50640,22585440,2025-10-22
Chennai,Mouse,468.0,76935,36005580,2025-03-08
Ahmedabad,Speaker,131.0,60736,7956416,2025-05-22
Bengaluru,Monitor,412.0,61481,25330172,2025-05-22
Jaipur,Headphones,38.0,58398,2219124,2025-06-19
Hyderabad,Speaker,493.0,56115,27664695,2025-12-09
Ahmedabad,Printer,155.0,26611,4124705,2025-07-28
Ahmedabad,Smartphone,122.0,50486,6159292,2025-10-12
Lucknow,Watch,359.0,39196,14071364,2025-01-27
Surat,Keyboard,141.0,1561,220101,2025-10-28
Surat,Jeans,382.0,6928,2646496,2025-10-24
Ahmedabad,Printer,463.0,38012,17599556,2025-04-20
Patna,Backpack,113.0,83942,9485446,2025-04-20
Hyderabad,Speaker,387.0,94993,36762291,2025-11-22
Kochi,Headphones,322.0,13235,4261670,2025-11-21
Bengaluru,Watch,404.0,58279,23544716,2025-01-19
Kolkata,T-Shirt,68.0,12313,837284,2025-05-11
Bhopal,Keyboard,90.0,26818,2413620,2025-03-26
Jaipur,Monitor,498.0,48453,24129594,2025-09-17
Mysuru,Watch,426.0,22067,9400542,2025-05-27
Ahmedabad,Jeans,152.0,98353,14949656,2025-06-26
Mumbai,Mouse,494.0,10369,5122286,2025-03-25
Chennai,Printer,347.0,95424,33112128,2025-11-13
Kochi,Jeans,286.0,48442,13854412,2025-02-26
Pune,Laptop,136.0,70829,9632744,2025-02-15
Kolkata,Speaker,384.0,88625,34032000,2025-05-19
Pune,Printer,327.0,49189,16084803,2025-02-22
Chennai,Mouse,13.0,81705,1062165,2025-09-11
Mysuru,Camera,114.0,85389,9734346,2025-02-21
Kochi,Mouse,466.0,92391,43054206,2025-05-21
Pune,Smartphone,72.0,6443,463896,2025-01-10
Ahmedabad,Smartphone,50.0,31275,1563750,2025-09-05
Pune,Mouse,190.0,88381,16792390,2025-12-23
Jaipur,Keyboard,301.0,97790,29434790,2025-12-05
Mysuru,Keyboard,336.0,13478,4528608,2025-08-20
Pune,Watch,17.0,90976,1546592,2025-06-07
Ahmedabad,Mouse,487.0,31447,15314689,2025-06-04
Surat,Backpack,279.0,85018,23720022,2025-06-02
Pune,Watch,98.0,16511,1618078,2025-08-03
Surat,Shoes,329.0,84319,27740951,2025-10-01
Bengaluru,Jeans,171.0,32425,5544675,2025-03-26
Lucknow,Shoes,36.0,73141,2633076,2025-04-19
Chennai,Printer,446.0,31039,13843394,2025-06-25
Delhi,Jeans,462.0,78616,36320592,2025-01-09
Kochi,Headphones,67.0,71307,4777569,2025-05-26
Delhi,Smartphone,339.0,3879,1314981,2025-03-01
Kolkata,Jeans,404.0,31686,12801144,2025-10-11
Bengaluru,Headphones,136.0,7368,1002048,2025-03-24
Pune,Tablet,59.0,98235,5795865,2025-02-16
Ahmedabad,Jeans,186.0,67771,12605406,2025-10-04
Ahmedabad,Tablet,114.0,81123,9248022,2025-01-24
Patna,Monitor,444.0,86863,38567172,2025-09-10
Ahmedabad,Speaker,494.0,4582,2263508,2025-01-16
Kochi,Keyboard,219.0,90428,19803732,2025-02-16
Bhopal,Monitor,228.0,10132,2310096,2025-02-11
Lucknow,Headphones,34.0,17040,579360,2025-05-20
Surat,Camera,281.0,93843,26369883,2025-06-13
Lucknow,Tablet,151.0,59969,9055319,2025-09-20
Pune,Smartphone,407.0,92483,37640581,2025-02-28
Surat,Speaker,450.0,72764,32743800,2025-12-28
Chennai,Keyboard,232.0,30449,7064168,2025-07-11
Kochi,Mouse,205.0,55024,11279920,2025-12-04
Kolkata,Keyboard,161.0,87677,14115997,2025-05-12
Delhi,Speaker,473.0,62663,29639599,2025-02-03
Kochi,Smartphone,48.0,57106,2741088,2025-02-24
Bhopal,Backpack,416.0,17554,7302464,2025-09-02
Lucknow,Tablet,288.0,43707,12587616,2025-11-04
Pune,Backpack,448.0,87707,39292736,2025-07-28
Mysuru,T-Shirt,27.0,38200,1031400,2025-10-10
Kolkata,Smartphone,296.0,67007,19834072,2025-04-05
Surat,Mouse,115.0,14684,1688660,2025-06-28
Jaipur,Backpack,59.0,37012,2183708,2025-10-08
Patna,Keyboard,433.0,74026,32053258,2025-10-20
Surat,Speaker,286.0,3941,1127126,2025-10-22
Kochi,T-Shirt,137.0,4294,588278,2025-03-09
Bhopal,Jeans,159.0,45041,7161519,2025-06-01
Delhi,Printer,74.0,74728,5529872,2025-11-13
Mumbai,Headphones,380.0,83491,31726580,2025-01-03
Bhopal,Tablet,111.0,49808,5528688,2025-07-15
Kolkata,Headphones,190.0,41346,7855740,2025-12-11
Patna,Camera,306.0,11635,3560310,2025-01-05
Delhi,Jeans,317.0,7022,2225974,2025-11-03
Hyderabad,Mouse,339.0,56076,19009764,2025-08-20
Ahmedabad,Keyboard,140.0,28755,4025700,2025-09-04
Kolkata,Keyboard,57.0,37625,2144625,2025-11-22
Lucknow,Mouse,270.0,87942,23744340,2025-05-02
Chennai,Keyboard,307.0,7680,2357760,2025-01-07
Hyderabad,Shoes,393.0,18487,7265391,2025-05-10
Kolkata,Smartphone,4.0,65693,262772,2025-12-14
Delhi,Headphones,195.0,70306,13709670,2025-12-08
Jaipur,Tablet,427.0,88062,37602474,2025-06-03
Pune,Printer,380.0,6044,2296720,2025-07-01
Ahmedabad,Monitor,40.0,41533,1661320,2025-10-14
Lucknow,Keyboard,364.0,84404,30723056,2025-07-10
Mumbai,Keyboard,11.0,43068,473748,2025-03-26
Lucknow,Mouse,426.0,90888,38718288,2025-06-03
Pune,Printer,55.0,32391,1781505,2025-07-19
Pune,Tablet,41.0,52373,2147293,2025-05-24
Kolkata,Shoes,171.0,22537,3853827,2025-02-17
Surat,Smartphone,272.0,67340,18316480,2025-04-25
Kolkata,Backpack,373.0,85099,31741927,2025-03-08
Mumbai,Headphones,132.0,26356,3478992,2025-03-20
Delhi,Jeans,389.0,86418,33616602,2025-02-06
Patna,Speaker,253.0,61311,15511683,2025-10-25
Lucknow,Mouse,349.0,74489,25996661,2025-11-21
Lucknow,Backpack,443.0,82710,36640530,2025-06-05
Ahmedabad,Smartphone,241.0,58461,14089101,2025-11-10
Patna,Watch,303.0,7862,2382186,2025-06-17
Mumbai,Watch,237.0,59733,14156721,2025-01-02
Kolkata,Printer,147.0,10557,1551879,2025-11-28
Kochi,Smartphone,315.0,78367,24685605,2025-09-13
Ahmedabad,Camera,284.0,97351,27647684,2025-01-15
Mysuru,Jeans,293.0,85937,25179541,2025-04-11
Lucknow,Mouse,257.0,20273,5210161,2025-01-15
Mumbai,Jeans,461.0,45515,20982415,2025-12-03
Jaipur,Speaker,89.0,5630,501070,2025-04-23
Ahmedabad,Mouse,269.0,69017,18565573,2025-10-06
Kolkata,Backpack,470.0,37579,17662130,2025-07-14
Patna,Backpack,348.0,78866,27445368,2025-01-26
Surat,Speaker,172.0,9139,1571908,2025-06-04
Jaipur,Speaker,198.0,37743,7473114,2025-05-24
Kochi,Speaker,494.0,79497,39271518,2025-03-11
Mumbai,Camera,340.0,19037,6472580,2025-06-10
Surat,T-Shirt,340.0,51874,17637160,2025-03-20
Bhopal,Smartphone,159.0,73759,11727681,2025-07-21
Patna,Backpack,417.0,17250,7193250,2025-11-23
Kochi,T-Shirt,351.0,69495,24392745,2025-02-21
Surat,Keyboard,261.0,47925,12508425,2025-01-12
Hyderabad,Headphones,487.0,28574,13915538,2025-06-25
Ahmedabad,Shoes,116.0,18530,2149480,2025-03-03
Hyderabad,Printer,404.0,13756,5557424,2025-09-25
Jaipur,Printer,379.0,69513,26345427,2025-01-22
Kolkata,Monitor,393.0,81506,32031858,2025-03-20
Pune,Headphones,84.0,24203,2033052,2025-12-25
Lucknow,Jeans,463.0,22197,10277211,2025-12-15
Bengaluru,Keyboard,187.0,89152,16671424,2025-12-08
Ahmedabad,Camera,146.0,99117,14471082,2025-12-26
Ahmedabad,Shoes,274.0,31848,8726352,2025-05-26
Patna,Mouse,463.0,25930,12005590,2025-06-22
Lucknow,Mouse,237.0,37432,8871384,2025-07-17
Jaipur,Keyboard,495.0,21741,10761795,2025-04-26
Lucknow,Headphones,447.0,33268,14870796,2025-01-21
Ahmedabad,Printer,191.0,73184,13978144,2025-02-23
Kochi,Tablet,436.0,16841,7342676,2025-05-03
Patna,Headphones,140.0,59393,8315020,2025-09-05
Kochi,Keyboard,47.0,29602,1391294,2025-08-12
Mysuru,Laptop,213.0,7480,1593240,2025-07-17
Kolkata,Shoes,198.0,11196,2216808,2025-06-08
Bengaluru,Backpack,477.0,13487,6433299,2025-12-21
Kolkata,Jeans,75.0,18535,1390125,2025-01-10
Mysuru,Printer,242.0,91735,22199870,2025-03-25
Bhopal,Mouse,230.0,81154,18665420,2025-01-03
Bengaluru,Watch,111.0,20097,2230767,2025-09-24
Lucknow,Tablet,217.0,15073,3270841,2025-05-08
Hyderabad,Smartphone,25.0,31752,793800,2025-07-21
Patna,Camera,235.0,8732,2052020,2025-02-27
Mysuru,Mouse,306.0,70761,21652866,2025-01-21
Jaipur,Camera,124.0,94681,11740444,2025-03-10
Pune,Laptop,315.0,46744,14724360,2025-04-19
Pune,Headphones,341.0,88084,30036644,2025-02-17
Kolkata,Smartphone,489.0,69451,33961539,2025-09-17
Patna,Tablet,284.0,3165,898860,2025-07-28
Ahmedabad,Laptop,326.0,51209,16694134,2025-06-09
Bhopal,Laptop,183.0,9355,1711965,2025-06-08
Bhopal,Speaker,322.0,14087,4536014,2025-10-24
Patna,Backpack,69.0,6311,435459,2025-06-18
Kolkata,Printer,330.0,23449,7738170,2025-11-15
Bhopal,Mouse,324.0,24391,7902684,2025-03-03
Bhopal,Jeans,484.0,60488,29276192,2025-01-10
Chennai,Laptop,406.0,26644,10817464,2025-01-11
Mysuru,Watch,264.0,52696,13911744,2025-09-16
Hyderabad,Laptop,386.0,85290,32921940,2025-04-10
Kolkata,Printer,400.0,6765,2706000,2025-11-11
Hyderabad,Smartphone,410.0,48737,19982170,2025-07-13
Bhopal,Mouse,459.0,51178,23490702,2025-06-06
Ahmedabad,T-Shirt,255.0,48648,12405240,2025-09-09
Patna,Smartphone,373.0,56140,20940220,2025-02-14
Lucknow,Printer,93.0,71996,6695628,2025-05-11
Mumbai,Smartphone,168.0,87128,14637504,2025-05-10
Ahmedabad,Camera,368.0,56351,20737168,2025-03-23
Ahmedabad,Backpack,229.0,6051,1385679,2025-12-28
Mysuru,Backpack,315.0,57508,18115020,2025-05-21
Patna,Laptop,39.0,88473,3450447,2025-11-13
Kolkata,Tablet,411.0,98790,40602690,2025-11-06
Bengaluru,Headphones,435.0,80135,34858725,2025-11-26
Ahmedabad,Laptop,65.0,9312,605280,2025-04-25
Surat,Backpack,186.0,50681,9426666,2025-10-02
Lucknow,Headphones,348.0,59472,20696256,2025-06-12
Ahmedabad,Jeans,40.0,75725,3029000,2025-03-17
Kolkata,Keyboard,161.0,85639,13787879,2025-05-08
Mumbai,Laptop,377.0,24885,9381645,2025-08-17
Pune,Monitor,288.0,15935,4589280,2025-05-25
Hyderabad,T-Shirt,229.0,28624,6554896,2025-10-10
Bhopal,Monitor,252.0,26737,6737724,2025-02-05
Kochi,Smartphone,232.0,23130,5366160,2025-12-15
Mumbai,Jeans,350.0,42389,14836150,2025-11-12
Bhopal,Smartphone,282.0,71563,20180766,2025-05-10
Kochi,Headphones,365.0,93503,34128595,2025-12-21
Delhi,Jeans,186.0,67183,12496038,2025-04-04
Chennai,Jeans,72.0,31529,2270088,2025-08-01
Kolkata,Tablet,294.0,48853,14362782,2025-08-26
Jaipur,Headphones,314.0,11800,3705200,2025-02-10
Pune,T-Shirt,369.0,63239,23335191,2025-09-14
Patna,Keyboard,422.0,75853,32009966,2025-02-05
Kolkata,Speaker,38.0,59479,2260202,2025-08-22
Jaipur,Backpack,66.0,72760,4802160,2025-11-19
Delhi,Jeans,495.0,17412,8618940,2025-07-17
Mysuru,Printer,29.0,16774,486446,2025-09-05
Hyderabad,Headphones,83.0,42791,3551653,2025-12-08
Kolkata,Tablet,459.0,37730,17318070,2025-02-09
Chennai,Speaker,490.0,72699,35622510,2025-05-05
Surat,Watch,315.0,70424,22183560,2025-02-17
Surat,Headphones,304.0,76606,23288224,2025-03-06
Surat,Camera,369.0,79816,29452104,2025-06-27
Mysuru,Camera,22.0,4218,92796,2025-02-02
Surat,Jeans,296.0,35188,10415648,2025-11-07
Patna,Camera,214.0,81516,17444424,2025-11-01
Ahmedabad,Monitor,322.0,72009,23186898,2025-05-21
Hyderabad,Mouse,126.0,90283,11375658,2025-07-10
Ahmedabad,Smartphone,353.0,8352,2948256,2025-03-15
Pune,Mouse,238.0,27241,6483358,2025-06-20
Delhi,Backpack,442.0,94657,41838394,2025-06-24
Kochi,Backpack,500.0,52760,26380000,2025-03-25
Kolkata,Tablet,288.0,14417,4152096,2025-06-08
Ahmedabad,Smartphone,137.0,59429,8141773,2025-04-05
Mumbai,Laptop,149.0,50851,7576799,2025-10-14
Chennai,Printer,462.0,21432,9901584,2025-06-19
Bhopal,Backpack,98.0,21385,2095730,2025-08-17
Ahmedabad,Mouse,451.0,40941,18464391,2025-08-01
Mumbai,Keyboard,259.0,60430,15651370,2025-04-07
Lucknow,Backpack,25.0,7124,178100,2025-05-16
Lucknow,Monitor,432.0,86255,37262160,2025-11-16
Hyderabad,Tablet,5.0,14589,72945,2025-07-05
Mysuru,Watch,373.0,48443,18069239,2025-07-12
